 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2010
"Município";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"430310 CACHOEIRINHA";13,28;12,87;63,70;10,15;100,00
"430320 CACIQUE DOBLE";34,50;19,00;32,38;14,12;100,00
"430330 CAIBATE";21,64;23,04;43,77;11,56;100,00
"430340 CAICARA";27,36;22,96;35,73;13,95;100,00
"430350 CAMAQUA";26,84;12,74;44,19;16,24;100,00
"430355 CAMARGO";28,52;14,48;39,72;17,28;100,00
"430360 CAMBARA DO SUL";23,90;18,87;44,98;12,25;100,00
"430367 CAMPESTRE DA SERRA";25,22;27,98;34,75;12,05;100,00
"430370 CAMPINA DAS MISSOES";16,66;29,89;44,59;8,86;100,00
"430380 CAMPINAS DO SUL";19,11;22,86;47,74;10,29;100,00
"430390 CAMPO BOM";15,59;19,08;51,47;13,87;100,00
"430400 CAMPO NOVO";29,87;14,58;44,29;11,26;100,00
"430410 CAMPOS BORGES";27,91;15,51;42,85;13,74;100,00
"430420 CANDELARIA";24,26;22,11;37,94;15,69;100,00
"430430 CANDIDO GODOI";16,83;27,34;40,37;15,47;100,00
"430435 CANDIOTA";20,08;16,39;48,09;15,43;100,00
"430440 CANELA";15,77;15,18;54,78;14,28;100,00
"430450 CANGUCU";32,90;17,26;31,36;18,47;100,00
"430460 CANOAS";14,04;14,51;61,89;9,57;100,00
"430461 CANUDOS DO VALE";25,51;24,59;30,31;19,59;100,00
"430462 CAPAO BONITO DO SUL";42,46;12,21;30,39;14,94;100,00
"430463 CAPAO DA CANOA";15,71;16,33;56,83;11,12;100,00
"430465 CAPAO DO CIPO";28,12;18,90;33,86;19,11;100,00
"430466 CAPAO DO LEAO";26,56;20,12;37,81;15,52;100,00
"430467 CAPIVARI DO SUL";22,14;9,44;55,09;13,34;100,00
"430468 CAPELA DE SANTANA";22,26;28,29;34,87;14,57;100,00
"430469 CAPITAO";19,53;16,10;42,88;21,49;100,00
"430470 CARAZINHO";14,68;13,06;61,61;10,65;100,00
"430471 CARAA";36,37;15,84;27,87;19,92;100,00
"430480 CARLOS BARBOSA";13,89;15,04;58,43;12,64;100,00
"430485 CARLOS GOMES";27,07;19,92;36,99;16,02;100,00
"430490 CASCA";19,04;13,88;53,49;13,59;100,00
"430495 CASEIROS";30,41;16,87;36,84;15,89;100,00
"430500 CATUIPE";19,17;18,65;43,20;18,99;100,00
"430510 CAXIAS DO SUL";13,63;11,40;64,60;10,37;100,00
"430511 CENTENARIO";29,70;22,64;31,15;16,51;100,00
"430512 CERRITO";30,20;21,99;34,00;13,81;100,00
"430513 CERRO BRANCO";32,13;23,32;29,86;14,68;100,00
"430515 CERRO GRANDE";35,36;15,36;31,82;17,47;100,00
"430517 CERRO GRANDE DO SUL";27,09;15,92;34,65;22,35;100,00
"430520 CERRO LARGO";14,33;25,18;52,09;8,40;100,00
"430530 CHAPADA";21,09;18,64;44,85;15,42;100,00
"430535 CHARQUEADAS";16,39;15,22;57,79;10,59;100,00
"430537 CHARRUA";36,06;22,39;24,81;16,74;100,00
"430540 CHIAPETTA";24,54;12,30;45,93;17,22;100,00
"430543 CHUI";11,16;18,24;55,07;15,52;100,00
"430544 CHUVISCA";33,92;14,65;24,07;27,36;100,00
"430545 CIDREIRA";15,15;21,59;53,58;9,68;100,00
"430550 CIRIACO";22,29;16,13;41,39;20,19;100,00
"430558 COLINAS";11,11;30,32;43,15;15,42;100,00
"430560 COLORADO";17,00;21,53;45,30;16,17;100,00
"430570 CONDOR";22,41;13,61;45,79;18,19;100,00
"430580 CONSTANTINA";27,37;12,81;45,16;14,67;100,00
"430583 COQUEIRO BAIXO";45,24;8,38;28,03;18,35;100,00
"430585 COQUEIROS DO SUL";21,34;22,04;37,39;19,22;100,00
"430587 CORONEL BARROS";22,10;31,95;36,34;9,61;100,00
"430590 CORONEL BICACO";27,99;17,55;37,65;16,81;100,00
"430593 CORONEL PILAR";15,91;18,38;36,63;29,08;100,00
"430595 COTIPORA";20,67;29,24;40,60;9,49;100,00
"430597 COXILHA";21,85;18,16;39,10;20,89;100,00
"430600 CRISSIUMAL";21,14;23,84;41,59;13,43;100,00
"430605 CRISTAL";35,40;15,32;30,20;19,08;100,00
"430607 CRISTAL DO SUL";38,34;18,76;32,88;10,02;100,00
"430610 CRUZ ALTA";17,83;13,72;58,31;10,13;100,00
"430613 CRUZALTENSE";24,82;23,12;34,96;17,11;100,00
"430620 CRUZEIRO DO SUL";20,09;23,47;43,16;13,28;100,00
"430630 DAVID CANABARRO";24,25;10,67;47,51;17,57;100,00
"430632 DERRUBADAS";23,13;15,19;39,21;22,48;100,00
"430635 DEZESSEIS DE NOVEMBRO";32,55;14,99;37,90;14,55;100,00
"430637 DILERMANDO DE AGUIAR";37,48;18,74;28,69;15,09;100,00
"430640 DOIS IRMAOS";10,36;19,35;54,43;15,87;100,00
"430642 DOIS IRMAOS DAS MISSOES";33,78;10,77;37,53;17,92;100,00
"430645 DOIS LAJEADOS";23,80;14,81;41,06;20,34;100,00
"430650 DOM FELICIANO";46,10;12,58;22,51;18,81;100,00
"430655 DOM PEDRO DE ALCANTARA";29,82;17,72;36,76;15,71;100,00
"430660 DOM PEDRITO";22,05;19,98;46,98;10,99;100,00
"430670 DONA FRANCISCA";24,66;18,83;41,83;14,69;100,00
"430673 DOUTOR MAURICIO CARDOSO";23,77;19,58;35,94;20,71;100,00
"430675 DOUTOR RICARDO";27,20;30,64;34,03;8,14;100,00
"430676 ELDORADO DO SUL";15,15;17,01;56,22;11,62;100,00
"430680 ENCANTADO";15,94;14,93;52,77;16,36;100,00
"430690 ENCRUZILHADA DO SUL";31,82;18,25;34,92;15,00;100,00
"430692 ENGENHO VELHO";23,72;11,86;44,78;19,65;100,00
"430693 ENTRE-IJUIS";26,41;20,74;37,41;15,44;100,00
"430695 ENTRE RIOS DO SUL";26,99;11,26;36,04;25,72;100,00
"430697 EREBANGO";23,78;13,38;44,19;18,65;100,00
"430700 ERECHIM";15,09;12,16;61,70;11,05;100,00
"430705 ERNESTINA";20,11;17,74;42,03;20,11;100,00
"430710 HERVAL";30,67;17,07;40,45;11,81;100,00
"430720 ERVAL GRANDE";29,86;20,62;30,78;18,73;100,00
"430730 ERVAL SECO";27,53;17,62;38,03;16,82;100,00
"430740 ESMERALDA";25,47;15,47;42,38;16,67;100,00
"430745 ESPERANCA DO SUL";31,90;15,91;29,55;22,64;100,00
"430750 ESPUMOSO";18,66;15,94;52,88;12,52;100,00
"430755 ESTACAO";16,64;22,43;53,33;7,60;100,00
"430760 ESTANCIA VELHA";14,71;19,62;53,59;12,08;100,00
"430770 ESTEIO";14,35;13,27;61,13;11,25;100,00
"430780 ESTRELA";13,45;18,31;57,37;10,86;100,00
"430781 ESTRELA VELHA";26,77;17,43;34,37;21,44;100,00
"430783 EUGENIO DE CASTRO";23,19;23,01;38,01;15,80;100,00
"430786 FAGUNDES VARELA";18,37;18,61;41,83;21,19;100,00
"430790 FARROUPILHA";15,92;12,76;58,03;13,29;100,00
"430800 FAXINAL DO SOTURNO";24,33;18,66;45,08;11,93;100,00
"430805 FAXINALZINHO";29,48;13,02;41,00;16,51;100,00
"430807 FAZENDA VILANOVA";26,83;21,24;37,68;14,26;100,00
"430810 FELIZ";11,20;25,42;51,17;12,22;100,00
"430820 FLORES DA CUNHA";20,22;13,18;49,23;17,38;100,00
"430825 FLORIANO PEIXOTO";23,00;24,85;22,58;29,57;100,00
"430830 FONTOURA XAVIER";34,88;15,26;35,24;14,62;100,00
"430840 FORMIGUEIRO";29,93;18,52;39,19;12,36;100,00
"430843 FORQUETINHA";24,14;28,70;30,62;16,54;100,00
"430845 FORTALEZA DOS VALOS";19,93;11,74;48,59;19,74;100,00
"430850 FREDERICO WESTPHALEN";18,83;16,79;54,82;9,57;100,00
"430860 GARIBALDI";13,79;16,39;56,68;13,14;100,00
"430865 GARRUCHOS";33,02;14,70;38,76;13,52;100,00
"430870 GAURAMA";19,02;21,27;44,43;15,29;100,00
"430880 GENERAL CAMARA";29,95;17,61;39,76;12,68;100,00
"430885 GENTIL";17,26;29,64;41,95;11,14;100,00
"430890 GETULIO VARGAS";20,17;13,10;51,06;15,67;100,00
"430900 GIRUA";23,44;15,41;45,24;15,92;100,00
"430905 GLORINHA";23,67;16,17;44,23;15,93;100,00
"430910 GRAMADO";16,26;14,07;55,24;14,43;100,00
"430912 GRAMADO DOS LOUREIROS";32,35;11,25;41,35;15,05;100,00
"430915 GRAMADO XAVIER";38,72;17,26;28,56;15,46;100,00
"430920 GRAVATAI";15,48;14,65;58,83;11,04;100,00
"430925 GUABIJU";31,08;23,59;36,22;9,11;100,00
"430930 GUAIBA";16,93;14,01;57,87;11,18;100,00
"430940 GUAPORE";19,27;14,91;51,73;14,10;100,00
"430950 GUARANI DAS MISSOES";22,14;17,17;44,74;15,95;100,00
"430955 HARMONIA";11,94;26,45;51,62;9,99;100,00
"430957 HERVEIRAS";32,43;18,24;24,62;24,71;100,00
"430960 HORIZONTINA";16,82;12,39;57,95;12,84;100,00
"430965 HULHA NEGRA";26,29;19,11;41,15;13,45;100,00
"430970 HUMAITA";21,67;21,65;43,10;13,58;100,00
"430975 IBARAMA";26,20;23,14;30,49;20,17;100,00
"430980 IBIACA";24,74;18,31;38,82;18,13;100,00
"430990 IBIRAIARAS";20,69;19,44;42,20;17,66;100,00
"430995 IBIRAPUITA";46,56;12,18;27,49;13,78;100,00
"431000 IBIRUBA";19,87;20,37;50,93;8,83;100,00
"431010 IGREJINHA";18,43;22,64;44,59;14,34;100,00
"431020 IJUI";15,31;15,44;58,94;10,32;100,00
"431030 ILOPOLIS";25,79;18,29;37,30;18,62;100,00
"431033 IMBE";16,95;16,32;56,39;10,34;100,00
"431036 IMIGRANTE";21,25;16,34;35,06;27,35;100,00
"431040 INDEPENDENCIA";26,69;18,55;38,46;16,30;100,00
"431041 INHACORA";32,18;14,64;36,44;16,74;100,00
"431043 IPE";23,80;17,14;42,02;17,04;100,00
"431046 IPIRANGA DO SUL";19,50;29,11;39,79;11,59;100,00
"431050 IRAI";26,50;13,52;42,60;17,38;100,00
"431053 ITAARA";16,02;16,42;55,00;12,55;100,00
"431055 ITACURUBI";28,87;18,08;32,66;20,39;100,00
"431057 ITAPUCA";31,09;16,67;28,56;23,68;100,00
"431060 ITAQUI";21,19;17,95;50,72;10,14;100,00
"431065 ITATI";31,10;20,62;33,96;14,32;100,00
"431070 ITATIBA DO SUL";26,21;10,93;37,99;24,87;100,00
"431075 IVORA";23,87;26,16;40,22;9,75;100,00
"431080 IVOTI";11,31;14,46;58,43;15,79;100,00
"431085 JABOTICABA";41,55;7,83;31,84;18,78;100,00
"431087 JACUIZINHO";45,60;13,61;27,43;13,36;100,00
"431090 JACUTINGA";28,54;19,59;40,55;11,31;100,00
"431100 JAGUARAO";21,03;19,35;50,17;9,45;100,00
"431110 JAGUARI";24,77;15,19;43,08;16,96;100,00
"431112 JAQUIRANA";39,61;12,61;31,65;16,13;100,00
"431113 JARI";31,60;16,17;26,70;25,54;100,00
"431115 JOIA";23,51;19,26;38,70;18,54;100,00
"431120 JULIO DE CASTILHOS";19,10;20,55;47,26;13,09;100,00
"431123 LAGOA BONITA DO SUL";24,95;19,86;35,92;19,27;100,00
"431125 LAGOAO";41,45;12,10;29,41;17,04;100,00
"431127 LAGOA DOS TRES CANTOS";15,83;13,99;53,53;16,64;100,00
"431130 LAGOA VERMELHA";22,73;17,15;50,18;9,93;100,00
"431140 LAJEADO";12,57;17,43;59,19;10,81;100,00
"431142 LAJEADO DO BUGRE";39,93;19,04;27,08;13,95;100,00
"431150 LAVRAS DO SUL";23,69;17,55;46,42;12,34;100,00
"431160 LIBERATO SALZANO";27,69;17,12;36,51;18,67;100,00
"431162 LINDOLFO COLLOR";17,44;20,52;39,00;23,03;100,00
"431164 LINHA NOVA";11,79;28,26;43,85;16,11;100,00
"431170 MACHADINHO";25,85;18,38;37,88;17,90;100,00
"431171 MACAMBARA";22,61;20,70;39,91;16,79;100,00
"431173 MAMPITUBA";34,53;15,17;30,99;19,31;100,00
"431175 MANOEL VIANA";26,73;19,71;40,01;13,55;100,00
"431177 MAQUINE";28,95;21,96;35,56;13,53;100,00
"431179 MARATA";25,27;27,62;31,01;16,10;100,00
"431180 MARAU";18,25;9,25;58,23;14,27;100,00
"431190 MARCELINO RAMOS";17,81;20,63;42,16;19,40;100,00
"431198 MARIANA PIMENTEL";31,22;16,92;33,49;18,37;100,00
"431200 MARIANO MORO";25,06;11,64;38,02;25,28;100,00
"431205 MARQUES DE SOUZA";27,70;29,80;31,37;11,14;100,00
"431210 MATA";30,80;21,10;33,59;14,51;100,00
"431213 MATO CASTELHANO";19,88;23,98;43,13;13,01;100,00
"431215 MATO LEITAO";14,24;24,65;44,99;16,12;100,00
"431217 MATO QUEIMADO";26,42;25,24;35,62;12,72;100,00
"431220 MAXIMILIANO DE ALMEIDA";23,38;19,80;38,29;18,54;100,00
"431225 MINAS DO LEAO";29,19;16,56;38,11;16,13;100,00
"431230 MIRAGUAI";25,78;17,88;39,68;16,66;100,00
"431235 MONTAURI";17,96;21,69;41,78;18,57;100,00
"431237 MONTE ALEGRE DOS CAMPOS";32,29;21,76;28,00;17,95;100,00
"431238 MONTE BELO DO SUL";17,00;18,43;40,91;23,65;100,00
"431240 MONTENEGRO";17,99;15,20;56,74;10,07;100,00
"431242 MORMACO";29,92;15,10;38,29;16,70;100,00
"431244 MORRINHOS DO SUL";29,33;14,65;36,88;19,15;100,00
"431245 MORRO REDONDO";24,67;20,39;37,82;17,12;100,00
"431247 MORRO REUTER";15,08;21,74;47,86;15,32;100,00
"431250 MOSTARDAS";32,04;19,33;35,05;13,58;100,00
"431260 MUCUM";21,53;26,16;45,82;6,48;100,00
"431261 MUITOS CAPOES";18,79;23,53;44,22;13,47;100,00
"431262 MULITERNO";39,39;14,32;34,43;11,87;100,00
"431265 NAO-ME-TOQUE";16,08;17,33;52,93;13,66;100,00
"431267 NICOLAU VERGUEIRO";26,11;17,07;38,67;18,15;100,00
"431270 NONOAI";28,53;13,82;45,82;11,83;100,00
"431275 NOVA ALVORADA";28,59;15,27;41,55;14,59;100,00
"431280 NOVA ARACA";17,41;19,16;53,29;10,14;100,00
"431290 NOVA BASSANO";18,60;20,46;45,43;15,51;100,00
"431295 NOVA BOA VISTA";14,63;28,67;40,64;16,05;100,00
"431300 NOVA BRESCIA";18,66;18,13;43,16;20,04;100,00
"431301 NOVA CANDELARIA";13,36;22,44;37,48;26,72;100,00
"431303 NOVA ESPERANCA DO SUL";20,32;18,29;47,75;13,64;100,00
"431306 NOVA HARTZ";21,72;19,04;41,27;17,96;100,00
"431308 NOVA PADUA";20,02;21,47;42,46;16,05;100,00
"431310 NOVA PALMA";14,65;17,95;51,94;15,47;100,00
"431320 NOVA PETROPOLIS";16,86;17,06;49,98;16,10;100,00
"431330 NOVA PRATA";15,72;16,28;56,96;11,03;100,00
"431333 NOVA RAMADA";19,53;16,50;36,02;27,95;100,00
"431335 NOVA ROMA DO SUL";23,88;26,63;34,78;14,71;100,00
"431337 NOVA SANTA RITA";18,49;17,97;51,91;11,63;100,00
"431339 NOVO CABRAIS";25,54;27,65;31,88;14,93;100,00
"431340 NOVO HAMBURGO";17,13;16,87;53,94;12,06;100,00
"431342 NOVO MACHADO";23,42;23,85;31,08;21,65;100,00
"431344 NOVO TIRADENTES";30,92;12,28;32,96;23,84;100,00
"431346 NOVO XINGU";20,83;8,88;48,77;21,52;100,00
"431349 NOVO BARREIRO";27,22;18,26;36,70;17,82;100,00
"431350 OSORIO";18,04;16,38;55,79;9,78;100,00
"431360 PAIM FILHO";27,23;14,51;36,63;21,63;100,00
"431365 PALMARES DO SUL";22,98;19,32;45,31;12,40;100,00
"431370 PALMEIRA DAS MISSOES";21,02;15,76;52,71;10,51;100,00
"431380 PALMITINHO";24,31;15,12;43,47;17,10;100,00
"431390 PANAMBI";17,38;13,79;56,20;12,64;100,00
"431395 PANTANO GRANDE";31,27;14,05;38,75;15,93;100,00
"431400 PARAI";19,70;17,96;50,18;12,17;100,00
"431402 PARAISO DO SUL";27,35;23,55;33,83;15,28;100,00
"431403 PARECI NOVO";17,84;23,91;47,74;10,51;100,00
"431405 PAROBE";18,23;22,69;43,31;15,77;100,00
"431406 PASSA SETE";26,38;20,92;30,00;22,69;100,00
"431407 PASSO DO SOBRADO";23,40;21,43;34,33;20,83;100,00
"431410 PASSO FUNDO";14,01;12,16;64,79;9,04;100,00
"431413 PAULO BENTO";19,30;30,70;34,13;15,87;100,00
"431415 PAVERAMA";19,18;29,18;33,40;18,24;100,00
"431417 PEDRAS ALTAS";34,94;18,89;35,65;10,52;100,00
"431420 PEDRO OSORIO";22,22;19,14;45,19;13,46;100,00
"431430 PEJUCARA";25,85;14,57;44,79;14,79;100,00
"431440 PELOTAS";18,14;15,33;56,81;9,72;100,00
"431442 PICADA CAFE";11,66;20,36;50,42;17,56;100,00
"431445 PINHAL";29,18;13,27;41,80;15,76;100,00
"431446 PINHAL DA SERRA";36,14;12,23;32,95;18,67;100,00
"431447 PINHAL GRANDE";28,65;13,26;40,27;17,82;100,00
"431449 PINHEIRINHO DO VALE";23,61;13,45;42,87;20,07;100,00
"431450 PINHEIRO MACHADO";26,70;19,49;41,43;12,38;100,00
"431455 PIRAPO";36,68;17,96;30,15;15,21;100,00
"431460 PIRATINI";33,09;13,93;37,95;15,03;100,00
"431470 PLANALTO";26,92;19,77;41,51;11,79;100,00
"431475 POCO DAS ANTAS";10,04;31,78;37,99;20,19;100,00
"431477 PONTAO";22,13;12,40;45,09;20,38;100,00
"431478 PONTE PRETA";18,39;18,92;33,84;28,85;100,00
"431480 PORTAO";20,46;20,19;46,49;12,86;100,00
"431490 PORTO ALEGRE";9,83;10,76;72,88;6,54;100,00
"431500 PORTO LUCENA";30,90;17,71;35,57;15,82;100,00
"431505 PORTO MAUA";25,88;14,51;40,11;19,50;100,00
"431507 PORTO VERA CRUZ";32,23;9,95;33,62;24,19;100,00
"431510 PORTO XAVIER";27,02;14,30;42,71;15,97;100,00
"431513 POUSO NOVO";34,43;10,91;36,22;18,44;100,00
"431514 PRESIDENTE LUCENA";18,41;23,37;48,21;10,01;100,00
"431515 PROGRESSO";28,08;27,45;29,03;15,45;100,00
"431517 PROTASIO ALVES";23,98;17,23;35,41;23,39;100,00
"431520 PUTINGA";29,94;15,67;34,67;19,73;100,00
"431530 QUARAI";20,43;17,98;47,59;14,00;100,00
"431531 QUATRO IRMAOS";31,43;16,40;35,40;16,76;100,00
"431532 QUEVEDOS";31,81;11,91;34,47;21,81;100,00
"431535 QUINZE DE NOVEMBRO";15,26;26,03;41,62;17,09;100,00
"431540 REDENTORA";37,01;12,59;37,33;13,07;100,00
"431545 RELVADO";29,24;24,10;31,22;15,44;100,00
"431550 RESTINGA SECA";22,92;22,77;40,40;13,92;100,00
"431555 RIO DOS INDIOS";35,26;14,30;34,95;15,49;100,00
"431560 RIO GRANDE";17,22;15,64;57,18;9,97;100,00
"431570 RIO PARDO";25,75;14,90;46,03;13,33;100,00
"431575 RIOZINHO";28,14;28,11;26,35;17,41;100,00
"431580 ROCA SALES";16,35;26,15;41,65;15,85;100,00
"431590 RODEIO BONITO";26,09;21,02;42,72;10,17;100,00
"431595 ROLADOR";26,98;21,68;36,04;15,29;100,00
"431600 ROLANTE";24,76;21,31;37,70;16,23;100,00
"431610 RONDA ALTA";28,14;13,60;43,36;14,90;100,00
"431620 RONDINHA";23,36;13,63;41,67;21,34;100,00
"431630 ROQUE GONZALES";23,96;20,30;38,70;17,04;100,00
"431640 ROSARIO DO SUL";23,21;16,83;47,05;12,91;100,00
"431642 SAGRADA FAMILIA";34,56;16,20;35,25;13,99;100,00
"431643 SALDANHA MARINHO";21,73;11,47;50,75;16,06;100,00
"431645 SALTO DO JACUI";26,39;15,61;43,90;14,10;100,00
"431647 SALVADOR DAS MISSOES";11,95;27,74;49,55;10,75;100,00
"431650 SALVADOR DO SUL";14,92;23,80;47,22;14,05;100,00
"431660 SANANDUVA";23,75;19,95;46,13;10,17;100,00
"431670 SANTA BARBARA DO SUL";20,98;16,45;47,34;15,23;100,00
"431673 SANTA CECILIA DO SUL";31,74;15,87;33,16;19,24;100,00
"431675 SANTA CLARA DO SUL";11,42;31,30;47,91;9,38;100,00
"431680 SANTA CRUZ DO SUL";13,92;14,02;60,43;11,64;100,00
"431690 SANTA MARIA";12,65;13,28;66,86;7,21;100,00
"431695 SANTA MARIA DO HERVAL";17,81;29,47;32,71;20,02;100,00
"431697 SANTA MARGARIDA DO SUL";35,66;15,66;33,26;15,43;100,00
"431700 SANTANA DA BOA VISTA";36,79;15,59;31,31;16,30;100,00
"431710 SANT'ANA DO LIVRAMENTO";15,54;18,78;55,95;9,73;100,00
"431720 SANTA ROSA";14,69;15,22;58,52;11,57;100,00
"431725 SANTA TEREZA";15,41;27,97;38,99;17,64;100,00
"431730 SANTA VITORIA DO PALMAR";23,26;18,78;46,97;10,99;100,00
"431740 SANTIAGO";16,47;15,58;57,43;10,52;100,00
"431750 SANTO ANGELO";16,19;15,04;58,04;10,73;100,00
"431755 SANTO ANTONIO DO PALMA";25,42;16,27;41,98;16,33;100,00
"431760 SANTO ANTONIO DA PATRULHA";25,56;14,11;44,26;16,07;100,00
"431770 SANTO ANTONIO DAS MISSOES";27,25;17,63;40,36;14,75;100,00
"431775 SANTO ANTONIO DO PLANALTO";20,05;14,35;44,99;20,61;100,00
"431780 SANTO AUGUSTO";22,16;17,05;46,97;13,82;100,00
"431790 SANTO CRISTO";12,31;23,81;45,44;18,44;100,00
"431795 SANTO EXPEDITO DO SUL";24,72;9,02;43,99;22,27;100,00
"431800 SAO BORJA";20,21;16,21;52,09;11,49;100,00
"431805 SAO DOMINGOS DO SUL";15,23;22,14;47,35;15,27;100,00
"431810 SAO FRANCISCO DE ASSIS";29,78;15,98;38,10;16,14;100,00
"431820 SAO FRANCISCO DE PAULA";25,63;18,73;41,72;13,92;100,00
"431830 SAO GABRIEL";23,65;17,84;46,87;11,64;100,00
"431840 SAO JERONIMO";24,46;16,97;45,94;12,63;100,00
"431842 SAO JOAO DA URTIGA";21,33;22,73;35,09;20,85;100,00
"431843 SAO JOAO DO POLESINE";15,44;20,23;52,86;11,47;100,00
"431844 SAO JORGE";18,79;28,44;38,57;14,20;100,00
"431845 SAO JOSE DAS MISSOES";36,21;17,06;27,71;19,02;100,00
"431846 SAO JOSE DO HERVAL";31,30;14,48;39,44;14,78;100,00
"431848 SAO JOSE DO HORTENCIO";17,63;25,16;39,50;17,72;100,00
"431849 SAO JOSE DO INHACORA";15,36;20,37;44,29;19,99;100,00
"431850 SAO JOSE DO NORTE";39,01;15,92;30,01;15,06;100,00
"431860 SAO JOSE DO OURO";20,07;14,99;48,53;16,41;100,00
"431861 SAO JOSE DO SUL";24,25;18,65;40,65;16,45;100,00
"431862 SAO JOSE DOS AUSENTES";28,08;15,39;38,09;18,44;100,00
"431870 SAO LEOPOLDO";15,04;15,83;57,30;11,83;100,00
"431880 SAO LOURENCO DO SUL";26,17;18,56;37,19;18,07;100,00
"431890 SAO LUIZ GONZAGA";21,12;15,23;52,07;11,59;100,00
"431900 SAO MARCOS";18,71;11,83;52,67;16,78;100,00
"431910 SAO MARTINHO";19,42;19,86;44,67;16,05;100,00
"431912 SAO MARTINHO DA SERRA";40,18;15,82;30,33;13,66;100,00
"431915 SAO MIGUEL DAS MISSOES";31,34;24,15;35,76;8,75;100,00
"431920 SAO NICOLAU";32,13;17,98;34,23;15,65;100,00
"431930 SAO PAULO DAS MISSOES";17,36;29,38;37,07;16,19;100,00
"431935 SAO PEDRO DA SERRA";9,44;17,66;43,58;29,32;100,00
"431936 SAO PEDRO DAS MISSOES";38,90;16,84;34,64;9,62;100,00
"431937 SAO PEDRO DO BUTIA";17,35;17,10;49,37;16,18;100,00
"431940 SAO PEDRO DO SUL";21,86;16,16;44,89;17,09;100,00
"431950 SAO SEBASTIAO DO CAI";16,72;19,89;51,99;11,39;100,00
"431960 SAO SEPE";25,03;18,99;43,49;12,49;100,00
"431970 SAO VALENTIM";23,96;27,04;38,55;10,44;100,00
"431971 SAO VALENTIM DO SUL";24,52;20,51;42,04;12,93;100,00
"431973 SAO VALERIO DO SUL";32,88;20,74;31,72;14,67;100,00
"431975 SAO VENDELINO";12,86;26,65;44,62;15,88;100,00
"431980 SAO VICENTE DO SUL";23,40;20,76;42,81;13,03;100,00
"431990 SAPIRANGA";17,64;21,00;44,96;16,40;100,00
"432000 SAPUCAIA DO SUL";16,53;15,68;56,26;11,53;100,00
"432010 SARANDI";14,90;17,94;55,45;11,72;100,00
"432020 SEBERI";29,39;15,26;42,02;13,33;100,00
"432023 SEDE NOVA";26,86;24,01;32,47;16,66;100,00
"432026 SEGREDO";24,71;22,21;31,17;21,91;100,00
"432030 SELBACH";11,30;22,65;52,63;13,42;100,00
"432032 SENADOR SALGADO FILHO";28,98;9,05;35,97;26,01;100,00
"432035 SENTINELA DO SUL";25,68;25,71;34,79;13,83;100,00
"432040 SERAFINA CORREA";18,84;12,16;55,22;13,78;100,00
"432045 SERIO";30,90;26,71;22,36;20,03;100,00
"432050 SERTAO";21,40;16,76;46,70;15,14;100,00
"432055 SERTAO SANTANA";29,87;21,51;34,69;13,93;100,00
"432057 SETE DE SETEMBRO";24,31;21,30;31,39;23,00;100,00
"432060 SEVERIANO DE ALMEIDA";27,23;11,19;45,85;15,73;100,00
"432065 SILVEIRA MARTINS";23,18;26,62;42,71;7,49;100,00
"432067 SINIMBU";35,63;15,05;23,52;25,79;100,00
"432070 SOBRADINHO";18,75;17,69;52,75;10,82;100,00
"432080 SOLEDADE";23,51;15,14;50,45;10,90;100,00
"432085 TABAI";23,20;25,79;36,26;14,76;100,00
"432090 TAPEJARA";20,42;16,12;51,04;12,42;100,00
"432100 TAPERA";14,84;20,62;51,65;12,89;100,00
"432110 TAPES";24,72;20,37;42,83;12,08;100,00
"432120 TAQUARA";19,93;18,31;47,17;14,59;100,00
"432130 TAQUARI";22,18;12,33;51,63;13,86;100,00
"432132 TAQUARUCU DO SUL";22,73;16,46;46,34;14,46;100,00
"432135 TAVARES";35,46;20,56;30,21;13,77;100,00
"432140 TENENTE PORTELA";27,12;14,17;46,13;12,58;100,00
"432143 TERRA DE AREIA";25,68;21,31;39,90;13,10;100,00
"432145 TEUTONIA";10,60;24,30;52,85;12,24;100,00
"432146 TIO HUGO";19,14;11,77;51,62;17,47;100,00
"432147 TIRADENTES DO SUL";32,15;13,85;33,67;20,33;100,00
"432149 TOROPI";27,48;18,75;34,16;19,61;100,00
"432150 TORRES";18,28;15,05;58,46;8,21;100,00
"432160 TRAMANDAI";18,16;20,28;51,69;9,87;100,00
"432162 TRAVESSEIRO";20,94;36,51;29,11;13,44;100,00
"432163 TRES ARROIOS";19,63;12,36;45,24;22,76;100,00
"432166 TRES CACHOEIRAS";23,19;19,81;42,87;14,12;100,00
"432170 TRES COROAS";19,80;21,54;43,93;14,73;100,00
"432180 TRES DE MAIO";17,10;16,48;53,20;13,22;100,00
"432183 TRES FORQUILHAS";36,68;17,51;30,60;15,21;100,00
"432185 TRES PALMEIRAS";34,25;16,56;34,08;15,11;100,00
"432190 TRES PASSOS";17,16;13,56;55,50;13,78;100,00
"432195 TRINDADE DO SUL";26,84;14,45;39,67;19,04;100,00
"432200 TRIUNFO";23,28;16,62;48,52;11,59;100,00
"432210 TUCUNDUVA";18,25;23,67;49,50;8,58;100,00
"432215 TUNAS";35,69;10,66;35,93;17,71;100,00
