 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2010
"Município";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"170100 ANANAS";34,35;12,33;45,08;8,24;100,00
"170105 ANGICO";33,45;8,92;44,06;13,56;100,00
"170110 APARECIDA DO RIO NEGRO";34,44;14,72;39,46;11,38;100,00
"170130 ARAGOMINAS";46,72;14,45;30,27;8,56;100,00
"170190 ARAGUACEMA";34,23;14,59;41,82;9,36;100,00
"170200 ARAGUACU";34,21;11,59;43,61;10,60;100,00
"170210 ARAGUAINA";18,09;11,52;63,32;7,07;100,00
"170215 ARAGUANA";36,03;15,38;38,76;9,84;100,00
"170220 ARAGUATINS";35,34;13,80;41,98;8,88;100,00
"170230 ARAPOEMA";34,84;10,31;45,42;9,44;100,00
"170240 ARRAIAS";41,65;12,57;38,68;7,09;100,00
"170255 AUGUSTINOPOLIS";31,36;13,94;46,58;8,11;100,00
"170270 AURORA DO TOCANTINS";33,33;14,38;41,09;11,19;100,00
"170290 AXIXA DO TOCANTINS";32,29;18,17;42,29;7,25;100,00
"170300 BABACULANDIA";34,19;12,08;42,48;11,25;100,00
"170305 BANDEIRANTES DO TOCANTINS";40,00;10,49;38,93;10,58;100,00
"170307 BARRA DO OURO";38,12;11,77;39,39;10,72;100,00
"170310 BARROLANDIA";34,39;17,67;36,61;11,33;100,00
"170320 BERNARDO SAYAO";39,62;9,81;40,98;9,59;100,00
"170330 BOM JESUS DO TOCANTINS";35,48;15,36;42,85;6,32;100,00
"170360 BRASILANDIA DO TOCANTINS";33,36;10,07;44,04;12,53;100,00
"170370 BREJINHO DE NAZARE";31,34;12,28;47,13;9,26;100,00
"170380 BURITI DO TOCANTINS";36,57;8,63;48,61;6,20;100,00
"170382 CACHOEIRINHA";33,12;12,63;44,68;9,56;100,00
"170384 CAMPOS LINDOS";47,96;9,45;32,30;10,30;100,00
"170386 CARIRI DO TOCANTINS";30,26;19,58;40,98;9,18;100,00
"170388 CARMOLANDIA";33,52;13,00;40,67;12,81;100,00
"170389 CARRASCO BONITO";38,09;17,85;36,42;7,64;100,00
"170390 CASEARA";37,62;14,79;40,48;7,11;100,00
"170410 CENTENARIO";43,06;10,41;34,83;11,70;100,00
"170460 CHAPADA DE AREIA";35,56;18,73;36,55;9,16;100,00
"170510 CHAPADA DA NATIVIDADE";44,86;9,71;34,75;10,68;100,00
"170550 COLINAS DO TOCANTINS";28,20;12,24;48,93;10,64;100,00
"170555 COMBINADO";29,29;12,63;47,95;10,13;100,00
"170560 CONCEICAO DO TOCANTINS";40,86;16,48;34,51;8,15;100,00
"170600 COUTO MAGALHAES";38,10;14,81;37,63;9,47;100,00
"170610 CRISTALANDIA";34,27;13,24;44,02;8,47;100,00
"170625 CRIXAS DO TOCANTINS";33,12;13,88;38,11;14,88;100,00
"170650 DARCINOPOLIS";42,44;13,73;30,75;13,08;100,00
"170700 DIANOPOLIS";27,95;12,95;50,39;8,72;100,00
"170710 DIVINOPOLIS DO TOCANTINS";35,11;13,38;43,99;7,52;100,00
"170720 DOIS IRMAOS DO TOCANTINS";43,87;12,13;32,17;11,83;100,00
"170730 DUERE";31,44;15,90;43,50;9,16;100,00
"170740 ESPERANTINA";42,92;11,06;37,12;8,90;100,00
"170755 FATIMA";31,84;13,52;47,84;6,80;100,00
"170765 FIGUEIROPOLIS";34,37;13,84;45,18;6,62;100,00
"170770 FILADELFIA";37,74;15,01;36,57;10,68;100,00
"170820 FORMOSO DO ARAGUAIA";30,30;12,94;46,88;9,88;100,00
"170825 FORTALEZA DO TABOCAO";34,16;16,13;42,00;7,71;100,00
"170830 GOIANORTE";37,56;15,19;33,83;13,42;100,00
"170900 GOIATINS";44,72;12,35;34,02;8,91;100,00
"170930 GUARAI";22,23;14,19;54,71;8,88;100,00
"170950 GURUPI";16,27;11,53;64,23;7,97;100,00
"170980 IPUEIRAS";38,71;14,53;35,52;11,25;100,00
"171050 ITACAJA";36,06;16,80;38,42;8,72;100,00
"171070 ITAGUATINS";40,39;16,21;36,01;7,39;100,00
"171090 ITAPIRATINS";41,56;17,77;29,10;11,58;100,00
"171110 ITAPORA DO TOCANTINS";33,11;14,64;36,87;15,38;100,00
"171150 JAU DO TOCANTINS";39,62;16,24;33,53;10,62;100,00
"171180 JUARINA";38,00;17,63;37,75;6,62;100,00
"171190 LAGOA DA CONFUSAO";34,14;13,62;42,06;10,17;100,00
"171195 LAGOA DO TOCANTINS";39,22;13,78;35,01;11,99;100,00
"171200 LAJEADO";29,01;12,97;45,36;12,66;100,00
"171215 LAVANDEIRA";35,13;10,06;46,36;8,45;100,00
"171240 LIZARDA";44,25;14,91;31,66;9,17;100,00
"171245 LUZINOPOLIS";32,27;11,48;45,77;10,48;100,00
"171250 MARIANOPOLIS DO TOCANTINS";31,61;17,04;39,11;12,24;100,00
"171270 MATEIROS";38,29;15,90;34,47;11,34;100,00
"171280 MAURILANDIA DO TOCANTINS";42,49;14,72;35,59;7,19;100,00
"171320 MIRACEMA DO TOCANTINS";28,40;14,01;48,41;9,17;100,00
"171330 MIRANORTE";33,04;12,16;45,07;9,73;100,00
"171360 MONTE DO CARMO";39,57;14,36;35,98;10,10;100,00
"171370 MONTE SANTO DO TOCANTINS";42,96;8,38;37,52;11,13;100,00
"171380 PALMEIRAS DO TOCANTINS";35,69;13,32;39,07;11,93;100,00
"171395 MURICILANDIA";45,98;9,90;36,17;7,95;100,00
"171420 NATIVIDADE";33,98;13,65;42,25;10,12;100,00
