"municipality","1991","2000","2010","Total"
"150470 MOJU",92.86,83.82,72.92,81.59
"150480 MONTE ALEGRE",92.33,84.13,74.31,83.11
"150490 MUANA",94.80,85.36,76.24,84.12
"150495 NOVA ESPERANCA DO PIRIA",...,87.14,84.81,85.92
"150497 NOVA IPIXUNA",...,76.25,68.77,72.12
"150500 NOVA TIMBOTEUA",92.66,75.24,65.49,76.06
"150503 NOVO PROGRESSO",...,49.97,34.07,41.13
"150506 NOVO REPARTIMENTO",...,85.30,71.97,77.26
"150510 OBIDOS",91.24,85.20,74.82,83.29
"150520 OEIRAS DO PARA",93.49,89.76,80.30,86.88
"150530 ORIXIMINA",85.56,74.48,68.71,75.04
"150540 OUREM",95.21,84.22,73.29,86.75
"150543 OURILANDIA DO NORTE",80.14,66.58,51.67,65.14
"150548 PACAJA",95.42,80.39,76.33,83.14
"150549 PALESTINA DO PARA",...,80.65,68.17,74.45
"150550 PARAGOMINAS",82.55,71.05,53.62,67.07
"150553 PARAUAPEBAS",75.25,62.40,37.14,50.69
"150555 PAU D'ARCO",...,83.00,63.41,74.01
"150560 PEIXE-BOI",92.34,84.49,72.83,82.37
"150563 PICARRA",...,75.55,65.81,70.72
"150565 PLACAS",...,72.20,76.85,75.17
"150570 PONTA DE PEDRAS",93.64,83.22,72.78,81.62
"150580 PORTEL",93.87,87.29,81.29,86.24
"150590 PORTO DE MOZ",92.38,81.32,79.76,82.94
"150600 PRAINHA",95.02,89.66,83.00,89.00
"150610 PRIMAVERA",96.67,84.87,73.07,86.71
"150611 QUATIPURU",...,87.86,77.43,82.31
"150613 REDENCAO",80.64,60.30,42.34,59.10
"150616 RIO MARIA",84.99,65.52,46.94,68.24
"150618 RONDON DO PARA",81.83,69.81,63.49,71.21
"150619 RUROPOLIS",94.46,76.57,74.20,79.46
"150620 SALINOPOLIS",90.88,71.95,54.38,69.34
"150630 SALVATERRA",89.56,81.42,68.62,77.90
"150635 SANTA BARBARA DO PARA",...,77.95,67.50,71.65
"150640 SANTA CRUZ DO ARARI",92.80,92.17,87.67,90.34
"150650 SANTA IZABEL DO PARA",84.94,75.63,55.35,69.13
"150655 SANTA LUZIA DO PARA",...,91.43,77.91,84.62
"150658 SANTA MARIA DAS BARREIRAS",79.98,74.69,69.84,73.26
"150660 SANTA MARIA DO PARA",85.94,74.10,64.44,73.77
"150670 SANTANA DO ARAGUAIA",90.30,72.91,57.56,66.91
"150680 SANTAREM",87.01,73.96,56.50,71.81
"150690 SANTAREM NOVO",91.42,84.63,80.59,84.96
"150700 SANTO ANTONIO DO TAUA",89.03,83.32,64.16,76.39
"150710 SAO CAETANO DE ODIVELAS",93.34,82.07,70.46,82.74
"150715 SAO DOMINGOS DO ARAGUAIA",...,78.75,61.67,69.52
"150720 SAO DOMINGOS DO CAPIM",91.36,87.12,81.72,87.23
"150730 SAO FELIX DO XINGU",83.06,65.12,57.62,63.10
"150740 SAO FRANCISCO DO PARA",86.77,80.44,65.69,76.75
"150745 SAO GERALDO DO ARAGUAIA",94.79,78.57,62.45,80.50
"150746 SAO JOAO DA PONTA",...,83.91,76.87,79.86
"150747 SAO JOAO DE PIRABAS",95.41,86.96,78.10,86.09
"150750 SAO JOAO DO ARAGUAIA",90.79,90.12,74.49,85.75
"150760 SAO MIGUEL DO GUAMA",89.08,78.67,66.62,76.41
"150770 SAO SEBASTIAO DA BOA VISTA",92.28,88.37,77.28,84.81
"150775 SAPUCAIA",...,56.42,49.82,52.64
"150780 SENADOR JOSE PORFIRIO",88.92,81.17,78.92,83.80
"150790 SOURE",88.13,79.66,63.11,75.31
"150795 TAILANDIA",81.60,71.65,68.79,71.24
"150796 TERRA ALTA",...,83.04,73.97,77.99
"150797 TERRA SANTA",...,84.42,65.86,74.39
"150800 TOME-ACU",88.39,72.38,64.50,73.79
"150803 TRACUATEUA",...,91.21,82.32,86.34
"150805 TRAIRAO",...,74.54,58.81,65.63
"150808 TUCUMA",78.83,55.69,43.86,58.57
"150810 TUCURUI",85.08,62.83,46.48,63.67
"150812 ULIANOPOLIS",...,70.29,60.97,63.75
"150815 URUARA",85.17,57.54,57.51,63.40
"150820 VIGIA",90.35,78.35,59.56,74.58
"150830 VISEU",95.32,90.94,85.00,90.56
"150835 VITORIA DO XINGU",...,77.23,66.31,71.03
"150840 XINGUARA",80.44,57.48,48.01,62.98
"160005 SERRA DO NAVIO",...,75.38,52.24,62.16
"160010 AMAPA",86.64,73.07,66.54,75.53
"160015 PEDRA BRANCA DO AMAPARI",...,84.00,59.37,66.15
"160020 CALCOENE",82.32,72.14,64.13,70.81
"160021 CUTIAS",...,84.88,72.44,77.51
"160023 FERREIRA GOMES",90.87,69.33,59.49,68.79
"160025 ITAUBAL",...,86.94,79.05,82.16
"160027 LARANJAL DO JARI",77.77,65.66,54.65,63.54
"160030 MACAPA",63.10,52.40,39.87,48.75
"160040 MAZAGAO",87.20,80.54,65.02,74.81
"160050 OIAPOQUE",70.98,57.99,52.80,57.62
"160053 PORTO GRANDE",...,68.49,59.30,62.83
"160055 PRACUUBA",...,85.78,77.92,80.85
"160060 SANTANA",79.83,69.73,52.53,64.44
"160070 TARTARUGALZINHO",91.70,82.73,74.51,80.12
"160080 VITORIA DO JARI",...,82.21,68.47,73.93
"170025 ABREULANDIA",...,80.19,54.79,66.81
"170030 AGUIARNOPOLIS",...,81.84,55.01,65.14
"170035 ALIANCA DO TOCANTINS",89.55,73.52,56.04,73.99
"170040 ALMAS",93.29,75.47,61.20,76.34
"170070 ALVORADA",77.12,60.82,34.23,58.50
"170100 ANANAS",93.23,78.36,52.48,74.65
"170105 ANGICO",...,76.26,62.64,69.13
"170110 APARECIDA DO RIO NEGRO",87.52,76.02,59.86,73.10
"170130 ARAGOMINAS",...,83.94,55.22,69.87
"170190 ARAGUACEMA",90.75,77.41,64.01,77.30
"170200 ARAGUACU",85.13,61.22,48.50,67.46
"170210 ARAGUAINA",76.58,60.31,32.58,53.41
"170215 ARAGUANA",...,85.65,59.49,71.39
"170220 ARAGUATINS",95.13,81.97,64.58,79.78
"170230 ARAPOEMA",83.98,72.85,50.21,72.93
"170240 ARRAIAS",84.00,77.74,57.47,73.33
"170255 AUGUSTINOPOLIS",90.67,81.70,59.57,75.01
"170270 AURORA DO TOCANTINS",92.10,81.59,59.02,79.01
"170290 AXIXA DO TOCANTINS",97.38,84.73,57.80,80.21
"170300 BABACULANDIA",95.33,86.92,59.48,80.00
"170305 BANDEIRANTES DO TOCANTINS",...,73.44,68.69,70.81
"170307 BARRA DO OURO",...,86.36,66.67,75.75
"170310 BARROLANDIA",89.44,71.66,55.29,73.38
"170320 BERNARDO SAYAO",90.89,76.81,52.20,73.07
"170330 BOM JESUS DO TOCANTINS",...,84.36,51.25,63.83
"170360 BRASILANDIA DO TOCANTINS",...,72.80,50.34,61.19
"170370 BREJINHO DE NAZARE",93.68,78.62,58.25,78.41
"170380 BURITI DO TOCANTINS",95.92,85.37,72.36,83.02
"170382 CACHOEIRINHA",...,94.35,66.20,79.69
"170384 CAMPOS LINDOS",...,91.21,76.47,82.50
"170386 CARIRI DO TOCANTINS",...,67.58,41.96,53.57
"170388 CARMOLANDIA",...,81.23,50.76,64.81
"170389 CARRASCO BONITO",...,93.49,76.49,84.40
"170390 CASEARA",88.25,78.25,58.02,71.88
"170410 CENTENARIO",...,87.24,72.25,79.11
"170460 CHAPADA DE AREIA",...,79.79,59.70,69.48
"170510 CHAPADA DA NATIVIDADE",...,76.98,69.46,72.90
"170550 COLINAS DO TOCANTINS",77.82,61.75,43.85,58.88
"170555 COMBINADO",88.33,82.48,49.59,73.53
"170560 CONCEICAO DO TOCANTINS",96.08,78.89,64.89,80.69
"170600 COUTO MAGALHAES",91.58,75.73,68.96,80.20
"170610 CRISTALANDIA",82.65,73.13,50.77,70.88
"170625 CRIXAS DO TOCANTINS",...,70.20,51.67,60.38
"170650 DARCINOPOLIS",...,85.46,57.80,70.20
"170700 DIANOPOLIS",81.99,68.42,46.80,63.69
"170710 DIVINOPOLIS DO TOCANTINS",87.85,68.86,54.73,70.34
"170720 DOIS IRMAOS DO TOCANTINS",96.36,80.45,68.46,82.14
"170730 DUERE",89.18,73.27,52.29,71.01
"170740 ESPERANTINA",...,92.97,81.88,86.80
"170755 FATIMA",90.47,78.51,51.31,74.46
"170765 FIGUEIROPOLIS",89.38,68.94,42.16,69.29
"170770 FILADELFIA",93.92,78.03,66.99,80.70
"170820 FORMOSO DO ARAGUAIA",89.72,66.49,49.83,68.00
"170825 FORTALEZA DO TABOCAO",...,75.92,52.18,63.55
"170830 GOIANORTE",90.01,78.12,61.75,76.68
"170900 GOIATINS",95.25,90.20,73.04,87.25
"170930 GUARAI",77.45,62.77,39.74,58.95
"170950 GURUPI",66.74,52.08,27.02,46.47
"170980 IPUEIRAS",...,88.94,60.31,72.12
"171050 ITACAJA",94.59,80.09,66.11,83.66
"171070 ITAGUATINS",96.39,85.56,66.58,85.58
"171090 ITAPIRATINS",...,88.77,56.00,71.60
"171110 ITAPORA DO TOCANTINS",91.10,76.52,52.54,75.89
"171150 JAU DO TOCANTINS",...,75.82,53.62,64.06
"171180 JUARINA",...,72.63,68.04,70.39
"171190 LAGOA DA CONFUSAO",...,71.60,50.57,58.53
"171195 LAGOA DO TOCANTINS",...,94.73,75.33,83.43
"171200 LAJEADO",...,59.87,50.53,54.71
"171215 LAVANDEIRA",...,92.06,55.77,71.46
"171240 LIZARDA",90.19,85.34,77.20,84.19
"171245 LUZINOPOLIS",...,81.82,61.95,70.47
"171250 MARIANOPOLIS DO TOCANTINS",83.40,70.86,49.90,63.53
"171270 MATEIROS",...,92.32,63.01,75.54
"171280 MAURILANDIA DO TOCANTINS",...,88.32,71.62,79.46
"171320 MIRACEMA DO TOCANTINS",71.46,60.40,44.40,58.74
"171330 MIRANORTE",80.23,67.52,48.19,64.37
"171360 MONTE DO CARMO",90.70,78.74,65.52,77.97
"171370 MONTE SANTO DO TOCANTINS",...,69.23,61.11,64.83
"171380 PALMEIRAS DO TOCANTINS",...,86.16,60.83,72.01
"171395 MURICILANDIA",...,78.16,69.43,73.35
"171420 NATIVIDADE",90.01,72.50,56.38,73.71
"171430 NAZARE",97.01,81.52,63.45,84.58
"171488 NOVA OLINDA",86.59,75.21,58.68,71.90
"171500 NOVA ROSALANDIA",90.26,73.70,65.60,75.64
"171510 NOVO ACORDO",96.48,85.45,59.58,79.98
"171515 NOVO ALEGRE",...,73.08,52.21,62.59
"171525 NOVO JARDIM",...,77.31,63.55,70.02
"171550 OLIVEIRA DE FATIMA",...,85.39,55.12,69.66
"171570 PALMEIRANTE",...,87.45,69.15,76.67
"171575 PALMEIROPOLIS",80.54,67.92,47.99,68.05
"171610 PARAISO DO TOCANTINS",60.37,55.87,26.94,45.24
"171620 PARANA",90.95,84.24,69.32,81.71
"171630 PAU D'ARCO",...,85.26,52.76,68.51
"171650 PEDRO AFONSO",84.91,70.18,33.11,63.17
"171660 PEIXE",88.59,75.78,49.51,72.14
"171665 PEQUIZEIRO",91.04,80.39,61.76,75.60
"171670 COLMEIA",83.15,74.01,47.64,68.40
"171700 PINDORAMA DO TOCANTINS",91.18,85.61,67.89,81.90
"171720 PIRAQUE",...,82.73,60.60,70.78
"171750 PIUM",91.02,70.32,50.53,72.66
"171780 PONTE ALTA DO BOM JESUS",94.72,76.76,68.32,81.70
"171790 PONTE ALTA DO TOCANTINS",95.29,80.81,65.55,80.47
"171800 PORTO ALEGRE DO TOCANTINS",91.10,86.63,56.89,76.54
"171820 PORTO NACIONAL",77.80,62.41,37.37,58.26
"171830 PRAIA NORTE",92.46,92.99,75.29,86.02
"171840 PRESIDENTE KENNEDY",87.43,78.71,57.67,77.14
"171845 PUGMIL",...,74.63,47.74,59.39
"171850 RECURSOLANDIA",...,88.33,79.82,83.69
"171855 RIACHINHO",...,91.40,78.95,84.72
"171865 RIO DA CONCEICAO",...,83.14,71.33,76.17
"171870 RIO DOS BOIS",...,76.09,60.76,67.94
"171875 RIO SONO",93.94,88.05,68.45,83.74
"171880 SAMPAIO",99.45,91.48,68.49,86.32
"171884 SANDOLANDIA",...,64.86,51.66,58.21
"171886 SANTA FE DO ARAGUAIA",...,75.97,62.74,68.68
"171888 SANTA MARIA DO TOCANTINS",...,86.61,58.84,70.87
"171889 SANTA RITA DO TOCANTINS",...,71.16,56.59,63.16
"171890 SANTA ROSA DO TOCANTINS",89.03,86.70,67.49,80.42
"171900 SANTA TEREZA DO TOCANTINS",92.48,83.05,52.05,76.75
"172000 SANTA TEREZINHA DO TOCANTINS",...,91.49,66.25,78.83
"172010 SAO BENTO DO TOCANTINS",...,83.83,64.54,73.20
"172015 SAO FELIX DO TOCANTINS",...,91.59,76.08,83.28
"172020 SAO MIGUEL DO TOCANTINS",...,88.98,67.84,77.27
"172025 SAO SALVADOR DO TOCANTINS",...,84.79,65.56,74.89
"172030 SAO SEBASTIAO DO TOCANTINS",95.75,88.80,79.78,88.04
"172049 SAO VALERIO",89.68,75.70,64.57,75.72
"172065 SILVANOPOLIS",92.45,76.94,53.60,74.98
"172080 SITIO NOVO DO TOCANTINS",96.10,86.33,71.21,83.97
"172085 SUCUPIRA",...,68.53,53.15,59.71
"172090 TAGUATINGA",89.09,74.06,63.64,74.33
"172093 TAIPAS DO TOCANTINS",...,76.47,70.13,73.11
"172097 TALISMA",...,73.53,38.57,54.50
"172100 PALMAS",69.86,43.95,23.52,33.28
"172110 TOCANTINIA",83.23,86.28,70.56,79.49
"172120 TOCANTINOPOLIS",92.54,74.31,54.19,75.54
"172125 TUPIRAMA",...,76.51,49.21,60.89
"172130 TUPIRATINS",...,86.01,63.79,72.44
"172208 WANDERLANDIA",90.48,76.67,56.06,73.17
"172210 XAMBIOA",86.71,75.24,55.41,72.47
"210005 ACAILANDIA",85.13,76.21,55.28,70.88
"210010 AFONSO CUNHA",98.44,89.51,82.32,89.36
"210015 AGUA DOCE DO MARANHAO",...,93.33,79.86,85.92
"210020 ALCANTARA",95.43,90.38,75.00,86.19
"210030 ALDEIAS ALTAS",97.01,90.96,83.60,89.87
"210040 ALTAMIRA DO MARANHAO",97.66,93.15,81.20,92.06
"210043 ALTO ALEGRE DO MARANHAO",...,90.58,79.77,84.59
"210047 ALTO ALEGRE DO PINDARE",...,89.74,86.65,88.16
"210050 ALTO PARNAIBA",92.90,85.74,68.00,81.87
