 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"430063 AMARAL FERRADOR";17,17;27,05;37,33;15,54;0,61;2,29;100,00
"430064 AMETISTA DO SUL";12,46;17,84;47,17;21,66;0,16;0,72;100,00
"430066 ANDRE DA ROCHA";5,33;12,48;50,55;30,55;-;1,09;100,00
"430070 ANTA GORDA";6,79;15,96;49,10;26,81;0,14;1,19;100,00
"430080 ANTONIO PRADO";6,87;14,86;40,32;37,39;0,25;0,32;100,00
"430085 ARAMBARE";12,39;19,64;41,50;25,05;0,17;1,25;100,00
"430087 ARARICA";5,07;16,74;49,50;28,52;-;0,18;100,00
"430090 ARATIBA";5,77;13,78;52,89;26,21;-;1,35;100,00
"430100 ARROIO DO MEIO";1,65;6,05;55,51;36,11;0,24;0,44;100,00
"430105 ARROIO DO SAL";6,44;12,75;43,31;37,00;-;0,50;100,00
"430110 ARROIO DOS RATOS";10,55;15,90;39,22;33,46;0,05;0,82;100,00
"430120 ARROIO DO TIGRE";6,16;18,98;49,84;24,40;0,06;0,57;100,00
"430130 ARROIO GRANDE";14,63;17,27;35,61;31,41;0,11;0,97;100,00
"430140 ARVOREZINHA";7,98;13,54;50,01;27,64;-;0,84;100,00
"430150 AUGUSTO PESTANA";4,08;10,72;57,50;26,97;-;0,72;100,00
"430155 AUREA";5,57;12,77;59,88;21,06;-;0,71;100,00
"430160 BAGE";7,91;10,57;33,36;47,73;0,08;0,36;100,00
"430163 BALNEARIO PINHAL";5,21;15,87;39,95;38,14;-;0,83;100,00
"430165 BARAO";2,13;15,86;53,67;27,63;0,10;0,61;100,00
"430170 BARAO DE COTEGIPE";5,89;13,13;49,83;30,95;-;0,21;100,00
"430175 BARAO DO TRIUNFO";12,79;17,62;54,29;14,90;-;0,40;100,00
"430180 BARRACAO";12,67;20,08;41,76;25,29;-;0,20;100,00
"430185 BARRA DO GUARITA";13,07;18,07;43,78;24,61;0,19;0,29;100,00
"430187 BARRA DO QUARAI";9,07;12,05;45,72;32,86;-;0,31;100,00
"430190 BARRA DO RIBEIRO";9,25;15,49;42,96;31,67;0,29;0,34;100,00
"430192 BARRA DO RIO AZUL";5,11;15,88;61,76;17,14;0,11;-;100,00
"430195 BARRA FUNDA";2,74;11,46;36,34;49,46;-;-;100,00
"430200 BARROS CASSAL";14,44;20,94;44,32;19,51;0,14;0,64;100,00
"430205 BENJAMIN CONSTANT DO SUL";15,47;24,19;43,19;16,92;-;0,23;100,00
"430210 BENTO GONCALVES";3,43;9,90;39,57;46,02;0,05;1,04;100,00
"430215 BOA VISTA DAS MISSOES";7,16;18,13;46,32;26,87;-;1,51;100,00
"430220 BOA VISTA DO BURICA";2,57;9,34;49,37;37,75;-;0,98;100,00
"430225 BOA VISTA DO SUL";5,60;18,55;55,34;19,68;-;0,83;100,00
"430230 BOM JESUS";10,90;18,81;43,60;26,20;-;0,50;100,00
"430235 BOM PRINCIPIO";1,49;3,48;56,33;38,28;-;0,43;100,00
"430237 BOM PROGRESSO";8,84;17,69;44,16;29,10;0,21;-;100,00
"430240 BOM RETIRO DO SUL";3,98;14,45;47,13;32,76;0,11;1,56;100,00
"430245 BOQUEIRAO DO LEAO";10,62;20,08;47,45;21,03;0,07;0,75;100,00
"430250 BOSSOROCA";9,58;18,17;42,36;28,41;0,09;1,39;100,00
"430260 BRAGA";11,98;19,48;44,08;23,69;-;0,77;100,00
"430265 BROCHIER";4,51;11,50;65,33;18,35;-;0,32;100,00
"430270 BUTIA";12,46;15,04;41,44;30,52;-;0,53;100,00
"430280 CACAPAVA DO SUL";11,44;15,97;38,11;33,48;0,09;0,91;100,00
"430290 CACEQUI";9,24;17,81;39,93;32,81;-;0,21;100,00
"430300 CACHOEIRA DO SUL";9,88;12,95;35,04;40,99;0,11;1,03;100,00
"430310 CACHOEIRINHA";4,36;10,07;35,10;49,42;0,07;0,98;100,00
"430320 CACIQUE DOBLE";10,65;15,77;44,92;27,80;-;0,85;100,00
"430330 CAIBATE";5,93;14,20;48,19;31,20;0,06;0,43;100,00
"430340 CAICARA";8,70;15,85;45,39;29,92;-;0,15;100,00
"430350 CAMAQUA";10,29;17,25;38,94;32,45;0,12;0,95;100,00
"430355 CAMARGO";7,43;18,26;42,68;31,37;-;0,27;100,00
"430360 CAMBARA DO SUL";10,33;16,15;43,87;29,18;-;0,48;100,00
"430367 CAMPESTRE DA SERRA";7,99;16,95;52,55;22,51;-;-;100,00
"430370 CAMPINA DAS MISSOES";2,91;7,77;58,46;30,38;-;0,48;100,00
"430380 CAMPINAS DO SUL";6,25;16,42;47,39;29,65;-;0,29;100,00
"430390 CAMPO BOM";4,04;10,88;45,57;38,63;0,06;0,82;100,00
"430400 CAMPO NOVO";10,62;18,89;42,67;27,42;-;0,41;100,00
"430410 CAMPOS BORGES";10,98;14,14;50,46;24,31;0,11;-;100,00
"430420 CANDELARIA";8,63;21,75;46,25;22,50;0,05;0,82;100,00
"430430 CANDIDO GODOI";1,22;12,88;54,27;31,18;-;0,44;100,00
"430435 CANDIOTA";8,38;11,15;38,03;41,32;-;1,11;100,00
"430440 CANELA";6,64;14,03;42,00;36,81;0,05;0,47;100,00
"430450 CANGUCU";11,29;21,01;48,63;17,88;0,11;1,08;100,00
"430460 CANOAS";4,30;10,37;35,79;48,99;0,07;0,48;100,00
"430463 CAPAO DA CANOA";5,68;13,09;40,45;39,22;0,12;1,44;100,00
"430466 CAPAO DO LEAO";9,89;18,52;41,81;29,11;0,08;0,59;100,00
"430467 CAPIVARI DO SUL";10,97;15,17;38,43;35,12;-;0,31;100,00
"430468 CAPELA DE SANTANA";8,10;17,35;51,08;23,14;0,07;0,25;100,00
"430469 CAPITAO";3,11;13,94;59,98;22,97;-;-;100,00
"430470 CARAZINHO";5,14;11,79;35,60;46,73;0,05;0,68;100,00
"430471 CARAA";12,07;25,44;48,73;13,68;-;0,08;100,00
"430480 CARLOS BARBOSA";2,51;10,34;42,37;44,39;0,07;0,33;100,00
"430485 CARLOS GOMES";3,43;17,34;57,90;21,33;-;-;100,00
"430490 CASCA";5,32;13,77;43,45;36,87;-;0,60;100,00
"430495 CASEIROS";10,52;16,40;43,55;29,43;0,09;-;100,00
"430500 CATUIPE";5,82;16,18;46,18;31,43;0,06;0,33;100,00
"430510 CAXIAS DO SUL";3,37;9,29;35,75;50,49;0,06;1,04;100,00
"430511 CENTENARIO";6,27;11,32;65,32;17,09;-;-;100,00
"430512 CERRITO";15,98;16,26;39,44;27,29;0,19;0,84;100,00
"430513 CERRO BRANCO";9,36;23,35;48,96;18,33;-;-;100,00
"430515 CERRO GRANDE";12,07;21,17;41,54;24,19;-;1,02;100,00
"430517 CERRO GRANDE DO SUL";12,55;23,68;46,48;16,51;-;0,78;100,00
"430520 CERRO LARGO";4,70;9,51;47,22;38,20;-;0,37;100,00
"430530 CHAPADA";4,45;13,51;50,40;30,55;0,13;0,97;100,00
"430535 CHARQUEADAS";6,09;12,82;37,67;41,54;0,42;1,46;100,00
"430537 CHARRUA";13,20;26,59;46,78;13,43;-;-;100,00
"430540 CHIAPETTA";7,58;14,10;49,35;28,54;-;0,43;100,00
"430543 CHUI";4,10;11,61;33,91;49,73;0,08;0,56;100,00
"430544 CHUVISCA";12,40;28,47;45,30;13,19;0,64;-;100,00
"430545 CIDREIRA";4,81;13,65;41,44;39,61;0,06;0,43;100,00
"430550 CIRIACO";9,36;17,33;49,51;23,55;-;0,26;100,00
"430558 COLINAS";2,98;7,51;68,47;21,03;-;-;100,00
"430560 COLORADO";4,30;25,77;40,69;29,24;-;-;100,00
"430570 CONDOR";6,57;15,00;49,68;28,32;-;0,42;100,00
"430580 CONSTANTINA";9,52;16,49;44,24;29,62;-;0,13;100,00
"430585 COQUEIROS DO SUL";3,15;19,42;54,24;22,62;-;0,58;100,00
"430587 CORONEL BARROS";5,91;14,84;50,43;28,72;-;0,10;100,00
"430590 CORONEL BICACO";10,68;17,72;44,44;25,96;-;1,20;100,00
"430595 COTIPORA";4,64;14,47;52,79;27,76;-;0,34;100,00
"430597 COXILHA";10,72;16,82;43,74;27,78;-;0,95;100,00
"430600 CRISSIUMAL";4,71;13,69;51,80;29,63;-;0,18;100,00
"430605 CRISTAL";13,57;24,06;40,95;20,76;0,38;0,29;100,00
"430607 CRISTAL DO SUL";12,16;21,69;46,10;18,86;-;1,20;100,00
"430610 CRUZ ALTA";5,35;11,48;36,54;46,05;0,04;0,54;100,00
"430620 CRUZEIRO DO SUL";3,79;9,93;56,29;29,79;-;0,19;100,00
"430630 DAVID CANABARRO";9,25;15,05;44,74;29,90;-;1,06;100,00
"430632 DERRUBADAS";7,16;18,83;49,96;23,07;0,49;0,49;100,00
"430635 DEZESSEIS DE NOVEMBRO";15,14;23,57;39,20;21,85;-;0,25;100,00
"430637 DILERMANDO DE AGUIAR";14,97;19,56;43,75;21,20;-;0,52;100,00
"430640 DOIS IRMAOS";2,09;6,53;49,96;40,93;-;0,49;100,00
"430642 DOIS IRMAOS DAS MISSOES";10,46;18,40;43,48;27,24;-;0,42;100,00
"430645 DOIS LAJEADOS";7,00;16,43;43,96;31,91;-;0,70;100,00
"430650 DOM FELICIANO";14,82;22,66;48,16;14,00;0,26;0,09;100,00
"430655 DOM PEDRO DE ALCANTARA";8,91;18,59;49,71;22,80;-;-;100,00
"430660 DOM PEDRITO";7,96;13,22;41,00;37,41;0,10;0,31;100,00
"430670 DONA FRANCISCA";10,10;18,27;41,78;29,37;0,14;0,34;100,00
"430673 DOUTOR MAURICIO CARDOSO";4,24;19,32;41,06;34,95;0,19;0,25;100,00
"430675 DOUTOR RICARDO";7,96;17,09;54,19;20,15;-;0,61;100,00
"430676 ELDORADO DO SUL";5,69;13,63;39,73;39,40;0,06;1,48;100,00
"430680 ENCANTADO";3,78;13,32;43,74;38,80;-;0,36;100,00
"430690 ENCRUZILHADA DO SUL";14,77;17,88;42,61;24,14;0,07;0,53;100,00
"430692 ENGENHO VELHO";13,72;21,84;40,75;23,24;-;0,47;100,00
"430693 ENTRE-IJUIS";4,81;17,96;48,01;28,68;-;0,54;100,00
"430695 ENTRE RIOS DO SUL";9,58;20,36;44,02;23,34;-;2,70;100,00
"430697 EREBANGO";6,52;18,79;42,68;31,87;-;0,14;100,00
"430700 ERECHIM";4,42;10,91;37,26;46,62;0,09;0,70;100,00
"430705 ERNESTINA";5,32;16,94;46,11;31,39;-;0,24;100,00
"430710 HERVAL";11,64;24,01;40,11;23,19;0,32;0,73;100,00
"430720 ERVAL GRANDE";10,75;19,44;49,78;17,39;-;2,64;100,00
"430730 ERVAL SECO";12,57;17,83;46,07;22,63;0,12;0,77;100,00
"430740 ESMERALDA";11,46;19,15;48,96;19,50;-;0,93;100,00
"430745 ESPERANCA DO SUL";10,90;14,68;55,18;18,78;-;0,47;100,00
"430750 ESPUMOSO";8,59;14,84;43,11;33,42;-;0,05;100,00
"430755 ESTACAO";4,73;12,09;45,51;36,20;-;1,48;100,00
"430760 ESTANCIA VELHA";4,24;9,66;46,01;39,46;-;0,63;100,00
"430770 ESTEIO";3,83;8,96;32,84;53,39;0,02;0,96;100,00
"430780 ESTRELA";2,42;6,72;49,97;40,44;-;0,45;100,00
"430781 ESTRELA VELHA";8,71;20,28;52,06;17,80;0,30;0,85;100,00
"430783 EUGENIO DE CASTRO";8,78;15,78;46,99;28,45;-;-;100,00
"430786 FAGUNDES VARELA";7,37;11,96;56,30;24,37;-;-;100,00
"430790 FARROUPILHA";3,61;10,29;43,63;41,46;0,03;0,98;100,00
"430800 FAXINAL DO SOTURNO";6,04;19,10;38,60;35,96;-;0,31;100,00
"430805 FAXINALZINHO";11,11;19,19;44,30;23,86;-;1,54;100,00
"430807 FAZENDA VILANOVA";9,11;18,31;52,06;20,52;-;-;100,00
"430810 FELIZ";1,02;8,15;51,74;38,78;-;0,31;100,00
"430820 FLORES DA CUNHA";3,60;10,34;52,16;33,66;-;0,23;100,00
"430825 FLORIANO PEIXOTO";3,39;12,58;53,09;29,66;1,00;0,28;100,00
"430830 FONTOURA XAVIER";18,53;19,79;42,06;18,58;-;1,05;100,00
"430840 FORMIGUEIRO";9,64;19,32;42,22;28,44;-;0,38;100,00
"430845 FORTALEZA DOS VALOS";5,38;13,24;50,05;31,02;-;0,30;100,00
"430850 FREDERICO WESTPHALEN";5,97;12,39;35,75;45,47;-;0,42;100,00
"430860 GARIBALDI";3,42;11,34;44,47;39,74;0,05;0,98;100,00
"430865 GARRUCHOS";14,88;20,15;40,91;24,07;-;-;100,00
"430870 GAURAMA";6,09;12,47;49,66;30,08;-;1,70;100,00
"430880 GENERAL CAMARA";9,19;16,63;40,47;32,41;0,09;1,21;100,00
"430885 GENTIL";10,22;10,08;53,81;25,53;-;0,36;100,00
"430890 GETULIO VARGAS";5,47;11,26;40,86;40,90;0,08;1,42;100,00
"430900 GIRUA";7,08;14,73;42,56;35,33;-;0,31;100,00
"430905 GLORINHA";8,58;18,32;47,96;24,85;0,12;0,17;100,00
"430910 GRAMADO";4,51;10,61;44,30;40,08;-;0,50;100,00
"430912 GRAMADO DOS LOUREIROS";17,08;20,80;34,38;27,62;-;0,11;100,00
"430915 GRAMADO XAVIER";8,80;21,24;56,88;12,25;-;0,83;100,00
"430920 GRAVATAI";5,09;10,15;37,71;46,11;0,07;0,88;100,00
"430925 GUABIJU";6,40;9,56;48,38;35,66;-;-;100,00
"430930 GUAIBA";5,67;11,64;35,80;45,69;0,08;1,11;100,00
"430940 GUAPORE";4,90;12,55;43,36;38,38;0,04;0,78;100,00
"430950 GUARANI DAS MISSOES";4,49;15,65;48,50;29,25;-;2,11;100,00
"430955 HARMONIA";0,65;9,55;55,17;34,28;-;0,36;100,00
"430957 HERVEIRAS";12,65;24,51;54,26;8,09;-;0,49;100,00
"430960 HORIZONTINA";4,62;12,09;35,67;46,09;-;1,53;100,00
"430965 HULHA NEGRA";14,70;19,96;36,95;27,93;-;0,46;100,00
"430970 HUMAITA";3,99;9,83;55,80;29,78;-;0,60;100,00
"430975 IBARAMA";10,55;14,68;55,36;18,49;0,34;0,58;100,00
"430980 IBIACA";7,35;17,56;47,28;27,50;-;0,30;100,00
"430990 IBIRAIARAS";5,91;18,80;43,27;31,73;-;0,28;100,00
"430995 IBIRAPUITA";15,21;18,48;45,50;19,95;0,46;0,41;100,00
"431000 IBIRUBA";3,99;12,55;46,44;35,75;0,25;1,03;100,00
"431010 IGREJINHA";4,89;12,74;53,23;28,11;-;1,02;100,00
"431020 IJUI";4,21;11,82;38,45;44,84;0,03;0,64;100,00
"431030 ILOPOLIS";5,90;16,61;52,57;24,57;-;0,35;100,00
"431033 IMBE";4,34;9,83;39,25;45,67;-;0,91;100,00
"431036 IMIGRANTE";1,51;7,09;64,84;26,32;0,13;0,13;100,00
"431040 INDEPENDENCIA";7,38;16,34;47,58;28,39;-;0,31;100,00
"431041 INHACORA";9,52;23,40;46,98;19,45;-;0,66;100,00
"431043 IPE";10,93;15,38;45,21;28,22;-;0,26;100,00
"431046 IPIRANGA DO SUL";4,28;13,08;54,06;27,71;0,31;0,56;100,00
"431050 IRAI";10,99;17,12;43,69;27,24;0,06;0,90;100,00
"431053 ITAARA";9,59;15,19;45,77;29,12;-;0,33;100,00
"431055 ITACURUBI";10,29;16,21;49,77;22,47;0,46;0,81;100,00
"431057 ITAPUCA";12,91;18,93;54,29;13,87;-;-;100,00
"431060 ITAQUI";8,04;12,60;39,69;39,11;-;0,55;100,00
"431070 ITATIBA DO SUL";9,34;17,82;53,30;18,24;-;1,30;100,00
"431075 IVORA";5,73;13,43;45,45;34,92;0,15;0,31;100,00
"431080 IVOTI";2,03;7,38;46,98;43,42;-;0,18;100,00
"431085 JABOTICABA";12,50;21,28;48,89;16,89;-;0,43;100,00
"431090 JACUTINGA";5,75;15,31;48,22;29,90;-;0,82;100,00
"431100 JAGUARAO";9,75;13,34;38,51;37,54;-;0,87;100,00
"431110 JAGUARI";7,54;12,68;45,29;34,09;0,05;0,35;100,00
"431112 JAQUIRANA";11,69;23,39;44,02;20,24;-;0,67;100,00
"431113 JARI";9,16;18,80;52,47;19,38;-;0,18;100,00
"431115 JOIA";6,75;14,95;49,39;28,53;-;0,37;100,00
"431120 JULIO DE CASTILHOS";7,65;15,31;42,25;33,93;-;0,86;100,00
"431125 LAGOAO";20,39;23,51;41,54;14,37;0,09;0,09;100,00
"431127 LAGOA DOS TRES CANTOS";3,65;7,60;54,77;33,98;-;-;100,00
"431130 LAGOA VERMELHA";9,45;14,04;36,47;39,41;0,11;0,51;100,00
"431140 LAJEADO";2,96;7,36;41,21;47,20;0,01;1,26;100,00
"431142 LAJEADO DO BUGRE";11,82;16,05;49,88;20,97;-;1,27;100,00
"431150 LAVRAS DO SUL";11,06;16,25;33,21;38,89;0,08;0,51;100,00
"431160 LIBERATO SALZANO";9,41;19,16;50,07;20,91;-;0,45;100,00
"431162 LINDOLFO COLLOR";2,50;15,92;62,04;19,54;-;-;100,00
"431164 LINHA NOVA";0,56;13,25;62,17;23,70;-;0,32;100,00
"431170 MACHADINHO";8,39;19,24;45,02;25,16;0,14;2,04;100,00
"431171 MACAMBARA";11,57;14,93;46,44;26,98;-;0,09;100,00
"431173 MAMPITUBA";13,43;19,00;48,30;16,10;1,76;1,40;100,00
"431175 MANOEL VIANA";10,25;19,61;43,67;26,27;-;0,20;100,00
"431177 MAQUINE";8,99;20,25;44,84;25,43;0,17;0,32;100,00
"431179 MARATA";2,33;10,75;66,98;19,95;-;-;100,00
"431180 MARAU";5,04;10,71;42,29;41,44;-;0,51;100,00
"431190 MARCELINO RAMOS";5,57;13,53;48,58;31,72;-;0,60;100,00
"431198 MARIANA PIMENTEL";10,77;18,02;44,86;26,35;-;-;100,00
"431200 MARIANO MORO";9,31;15,34;45,40;28,94;-;1,01;100,00
"431205 MARQUES DE SOUZA";6,99;18,20;51,45;22,50;0,12;0,74;100,00
"431210 MATA";7,88;21,69;45,61;24,56;0,10;0,17;100,00
"431213 MATO CASTELHANO";6,83;14,80;35,35;42,49;0,26;0,26;100,00
"431215 MATO LEITAO";3,38;8,78;53,55;33,48;-;0,81;100,00
"431220 MAXIMILIANO DE ALMEIDA";10,25;14,66;50,94;23,48;-;0,67;100,00
"431225 MINAS DO LEAO";16,43;15,78;43,02;23,87;0,19;0,71;100,00
"431230 MIRAGUAI";9,75;18,67;45,79;25,09;-;0,69;100,00
"431235 MONTAURI";4,58;13,88;65,06;16,48;-;-;100,00
"431237 MONTE ALEGRE DOS CAMPOS";14,69;23,38;46,15;14,79;0,19;0,80;100,00
"431238 MONTE BELO DO SUL";3,72;12,57;60,65;22,93;-;0,13;100,00
"431240 MONTENEGRO";5,10;11,83;40,35;41,96;0,06;0,71;100,00
"431242 MORMACO";7,06;21,01;43,54;28,39;-;-;100,00
"431244 MORRINHOS DO SUL";10,73;20,22;43,62;25,02;-;0,41;100,00
"431245 MORRO REDONDO";12,03;19,66;39,84;27,10;0,23;1,13;100,00
"431247 MORRO REUTER";2,12;7,06;56,40;34,03;-;0,39;100,00
"431250 MOSTARDAS";15,30;22,76;38,21;23,49;0,06;0,19;100,00
"431260 MUCUM";6,67;15,82;47,43;29,89;0,08;0,11;100,00
"431261 MUITOS CAPOES";14,12;12,78;52,84;20,12;-;0,14;100,00
"431262 MULITERNO";8,50;20,85;40,82;29,35;0,32;0,16;100,00
"431265 NAO-ME-TOQUE";4,46;11,16;42,34;40,78;0,05;1,22;100,00
"431267 NICOLAU VERGUEIRO";4,27;15,02;50,75;29,96;-;-;100,00
"431270 NONOAI";15,91;15,71;35,52;32,00;0,15;0,72;100,00
"431275 NOVA ALVORADA";7,04;19,11;48,78;24,83;-;0,24;100,00
"431280 NOVA ARACA";3,91;7,82;47,58;38,64;-;2,04;100,00
"431290 NOVA BASSANO";3,58;7,78;53,88;34,64;-;0,12;100,00
"431295 NOVA BOA VISTA";1,83;10,03;56,46;31,03;-;0,65;100,00
"431300 NOVA BRESCIA";2,62;18,24;52,68;25,54;-;0,93;100,00
"431301 NOVA CANDELARIA";2,27;13,56;61,60;22,18;-;0,40;100,00
"431303 NOVA ESPERANCA DO SUL";8,01;14,35;47,68;28,70;-;1,27;100,00
"431306 NOVA HARTZ";4,02;14,68;55,86;24,46;0,08;0,90;100,00
"431308 NOVA PADUA";2,29;12,45;55,63;29,06;-;0,57;100,00
"431310 NOVA PALMA";3,91;15,90;39,41;40,19;0,13;0,45;100,00
"431320 NOVA PETROPOLIS";2,05;9,16;49,85;37,88;0,13;0,93;100,00
"431330 NOVA PRATA";3,32;9,70;42,44;43,49;0,06;1,00;100,00
"431333 NOVA RAMADA";5,86;15,77;55,36;22,73;-;0,29;100,00
"431335 NOVA ROMA DO SUL";3,79;15,53;48,83;31,47;-;0,37;100,00
"431337 NOVA SANTA RITA";7,09;14,44;41,14;36,58;0,08;0,66;100,00
"431339 NOVO CABRAIS";8,74;22,83;50,90;17,15;-;0,37;100,00
"431340 NOVO HAMBURGO";4,33;11,73;40,71;42,33;0,08;0,81;100,00
"431342 NOVO MACHADO";4,14;21,73;51,63;22,19;-;0,30;100,00
"431344 NOVO TIRADENTES";8,53;24,05;43,18;24,23;-;-;100,00
"431349 NOVO BARREIRO";7,96;16,92;52,36;21,12;0,53;1,10;100,00
"431350 OSORIO";5,16;12,59;38,70;42,52;0,04;0,99;100,00
"431360 PAIM FILHO";6,31;19,02;49,66;24,47;0,08;0,45;100,00
"431365 PALMARES DO SUL";12,96;16,95;37,24;32,55;0,09;0,21;100,00
"431370 PALMEIRA DAS MISSOES";10,69;15,14;37,97;35,62;-;0,58;100,00
"431380 PALMITINHO";8,91;17,59;39,91;32,39;0,30;0,89;100,00
"431390 PANAMBI";3,31;11,26;41,81;42,77;-;0,85;100,00
"431395 PANTANO GRANDE";14,88;16,45;37,18;31,00;0,19;0,30;100,00
"431400 PARAI";2,98;9,55;50,10;37,38;-;-;100,00
"431402 PARAISO DO SUL";7,67;18,87;50,75;21,47;0,16;1,07;100,00
"431403 PARECI NOVO";1,49;10,24;53,98;34,06;-;0,24;100,00
"431405 PAROBE";5,26;13,22;50,35;30,72;-;0,44;100,00
"431406 PASSA SETE";14,62;19,91;46,96;18,17;-;0,34;100,00
"431407 PASSO DO SOBRADO";5,16;18,96;53,22;22,38;-;0,28;100,00
"431410 PASSO FUNDO";4,92;8,94;31,43;53,88;0,08;0,75;100,00
"431415 PAVERAMA";7,68;15,51;57,96;18,85;-;-;100,00
"431420 PEDRO OSORIO";15,15;16,78;36,48;30,33;-;1,26;100,00
"431430 PEJUCARA";5,62;12,57;45,96;35,21;-;0,65;100,00
"431440 PELOTAS";6,38;12,10;35,36;45,21;0,07;0,89;100,00
"431442 PICADA CAFE";2,98;10,18;55,82;30,75;-;0,28;100,00
"431445 PINHAL";6,40;13,20;49,39;29,23;-;1,78;100,00
"431447 PINHAL GRANDE";6,42;17,77;48,99;26,81;-;-;100,00
"431449 PINHEIRINHO DO VALE";11,09;24,38;41,80;22,29;0,17;0,27;100,00
"431450 PINHEIRO MACHADO";15,76;13,99;39,80;29,86;0,02;0,56;100,00
"431455 PIRAPO";13,44;19,22;46,01;21,34;-;-;100,00
"431460 PIRATINI";17,26;19,58;39,06;23,75;-;0,35;100,00
"431470 PLANALTO";11,87;18,81;40,03;28,85;-;0,45;100,00
"431475 POCO DAS ANTAS";2,15;8,01;55,64;34,20;-;-;100,00
"431477 PONTAO";8,89;12,83;50,18;25,84;-;2,26;100,00
"431478 PONTE PRETA";5,11;15,68;57,02;21,88;-;0,30;100,00
"431480 PORTAO";5,08;17,05;45,91;31,12;0,11;0,72;100,00
"431490 PORTO ALEGRE";3,46;7,13;24,53;64,17;0,04;0,67;100,00
"431500 PORTO LUCENA";8,01;15,63;49,25;26,99;-;0,12;100,00
"431505 PORTO MAUA";6,11;18,53;48,02;26,39;0,14;0,80;100,00
"431507 PORTO VERA CRUZ";7,81;22,30;48,03;19,07;-;2,79;100,00
"431510 PORTO XAVIER";11,05;17,81;40,80;29,88;-;0,46;100,00
"431513 POUSO NOVO";9,51;22,61;43,89;23,99;-;-;100,00
"431514 PRESIDENTE LUCENA";1,81;8,04;64,81;25,15;-;0,19;100,00
"431515 PROGRESSO";11,35;20,02;51,35;16,93;-;0,34;100,00
"431517 PROTASIO ALVES";4,75;15,40;51,81;27,86;-;0,18;100,00
"431520 PUTINGA";6,72;21,77;47,63;23,45;0,20;0,23;100,00
"431530 QUARAI";6,21;13,75;36,90;42,86;0,12;0,16;100,00
"431532 QUEVEDOS";9,63;20,39;53,76;15,60;-;0,62;100,00
"431535 QUINZE DE NOVEMBRO";4,06;10,33;56,25;28,64;-;0,71;100,00
"431540 REDENTORA";16,02;20,94;44,63;17,57;-;0,83;100,00
"431545 RELVADO";6,58;25,99;47,09;19,03;-;1,31;100,00
"431550 RESTINGA SECA";7,45;16,66;43,87;30,24;-;1,78;100,00
"431555 RIO DOS INDIOS";16,58;20,55;43,92;18,76;-;0,18;100,00
"431560 RIO GRANDE";7,45;12,55;36,35;42,52;0,05;1,08;100,00
"431570 RIO PARDO";9,93;16,00;40,55;32,80;-;0,71;100,00
"431575 RIOZINHO";10,59;18,41;54,89;15,87;-;0,23;100,00
"431580 ROCA SALES";3,58;11,14;56,39;28,56;0,05;0,27;100,00
"431590 RODEIO BONITO";7,03;17,66;39,45;35,10;0,29;0,48;100,00
"431600 ROLANTE";6,78;16,80;49,40;26,84;-;0,19;100,00
"431610 RONDA ALTA";7,75;16,01;45,67;30,22;-;0,35;100,00
"431620 RONDINHA";4,38;14,77;49,68;31,06;-;0,11;100,00
"431630 ROQUE GONZALES";10,08;17,52;46,79;25,08;-;0,53;100,00
"431640 ROSARIO DO SUL";9,55;14,58;37,05;37,84;-;0,98;100,00
"431642 SAGRADA FAMILIA";13,39;16,63;48,80;20,61;-;0,58;100,00
"431643 SALDANHA MARINHO";7,78;11,58;44,89;34,27;-;1,48;100,00
"431645 SALTO DO JACUI";12,10;18,12;40,94;28,07;0,10;0,67;100,00
"431647 SALVADOR DAS MISSOES";1,14;7,65;55,91;35,05;-;0,25;100,00
"431650 SALVADOR DO SUL";1,61;11,95;57,22;28,90;-;0,32;100,00
"431660 SANANDUVA";7,54;15,08;42,75;34,26;-;0,37;100,00
"431670 SANTA BARBARA DO SUL";5,96;15,11;39,30;38,89;-;0,74;100,00
"431675 SANTA CLARA DO SUL";2,49;6,33;64,63;26,13;-;0,42;100,00
"431680 SANTA CRUZ DO SUL";4,39;8,75;39,74;45,84;0,04;1,25;100,00
"431690 SANTA MARIA";4,71;8,40;30,05;56,15;0,05;0,65;100,00
"431695 SANTA MARIA DO HERVAL";1,25;10,41;64,44;23,57;-;0,33;100,00
"431700 SANTANA DA BOA VISTA";18,13;20,83;36,36;23,28;0,09;1,31;100,00
"431710 SANT'ANA DO LIVRAMENTO";5,62;10,30;36,74;46,84;0,05;0,44;100,00
"431720 SANTA ROSA";4,85;10,54;39,38;44,21;0,11;0,91;100,00
"431725 SANTA TEREZA";4,56;9,76;64,50;21,19;-;-;100,00
"431730 SANTA VITORIA DO PALMAR";9,87;15,50;35,16;39,09;-;0,38;100,00
"431740 SANTIAGO";6,37;12,05;36,68;44,63;0,03;0,24;100,00
"431750 SANTO ANGELO";4,94;11,88;36,17;46,49;0,03;0,50;100,00
"431755 SANTO ANTONIO DO PALMA";7,94;17,31;41,43;33,02;-;0,30;100,00
"431760 SANTO ANTONIO DA PATRULHA";11,17;17,56;39,25;30,96;0,07;0,99;100,00
