 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"150277 CURIONOPOLIS";20,88;31,09;32,38;14,26;0,09;1,29;100,00
"150280 CURRALINHO";34,39;34,01;23,70;7,30;0,06;0,54;100,00
"150285 CURUA";12,45;44,79;35,08;7,23;-;0,46;100,00
"150290 CURUCA";9,53;26,00;40,23;23,76;0,06;0,42;100,00
"150293 DOM ELISEU";24,06;30,72;28,92;15,01;0,09;1,20;100,00
"150295 ELDORADO DOS CARAJAS";26,28;29,98;31,60;11,70;0,03;0,40;100,00
"150300 FARO";13,46;26,55;38,15;20,55;-;1,29;100,00
"150304 FLORESTA DO ARAGUAIA";21,39;33,33;32,55;11,86;0,20;0,67;100,00
"150307 GARRAFAO DO NORTE";26,28;39,83;21,09;7,89;0,08;4,84;100,00
"150309 GOIANESIA DO PARA";23,03;31,44;31,50;12,65;-;1,38;100,00
"150310 GURUPA";36,82;31,26;21,62;9,24;0,21;0,85;100,00
"150320 IGARAPE-ACU";14,34;31,27;30,36;22,83;0,15;1,04;100,00
"150330 IGARAPE-MIRI";19,67;37,93;26,24;15,10;0,04;1,01;100,00
"150340 INHANGAPI";17,06;31,49;32,03;18,05;0,09;1,29;100,00
"150345 IPIXUNA DO PARA";34,14;33,31;25,95;5,74;0,08;0,77;100,00
"150350 IRITUIA";19,99;37,04;28,73;13,23;0,12;0,89;100,00
"150360 ITAITUBA";19,85;22,75;32,67;23,81;0,13;0,80;100,00
"150370 ITUPIRANGA";25,51;33,97;29,85;9,50;-;1,18;100,00
"150375 JACAREACANGA";38,64;22,56;28,77;9,30;0,16;0,57;100,00
"150380 JACUNDA";23,44;24,59;32,15;18,41;0,04;1,38;100,00
"150390 JURUTI";12,28;37,47;35,02;13,22;0,28;1,73;100,00
"150400 LIMOEIRO DO AJURU";17,39;40,93;31,15;9,95;-;0,58;100,00
"150405 MAE DO RIO";18,14;29,38;30,22;19,91;-;2,35;100,00
