"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"330420 RESENDE",5,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,7
"330430 RIO BONITO",4,2,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,14
"330440 RIO CLARO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330452 RIO DAS OSTRAS",3,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,6
"330455 RIO DE JANEIRO",1218,103,-,-,4,-,-,4,-,-,-,16,138,625,3,2,-,-,2113
"330490 SAO GONCALO",4,-,-,-,-,-,-,-,-,-,-,-,1,22,-,-,-,-,27
"330500 SAO JOAO DA BARRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"330510 SAO JOAO DE MERITI",20,8,-,-,-,-,-,-,-,-,-,-,23,26,-,-,-,-,77
"330520 SAO PEDRO DA ALDEIA",1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,3
"330550 SAQUAREMA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"330555 SEROPEDICA",4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"330575 TANGUA",3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"330580 TERESOPOLIS",7,-,-,-,-,-,-,-,-,-,-,-,1,30,1,-,-,-,39
"330610 VALENCA",2,1,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,28
"330615 VARRE-SAI",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"330620 VASSOURAS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"330630 VOLTA REDONDA",2,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,5
"350010 ADAMANTINA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350050 AGUAS DE LINDOIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350070 AGUDOS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350100 ALTINOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,3
"350115 ALUMINIO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350150 ALVINLANDIA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"350160 AMERICANA",7,29,-,-,2,-,-,-,-,-,-,-,9,-,-,-,-,-,47
"350170 AMERICO BRASILIENSE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"350190 AMPARO",1,1,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,7
"350210 ANDRADINA",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"350220 ANGATUBA",1,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,8
"350230 ANHEMBI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"350240 ANHUMAS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350250 APARECIDA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350275 ARACARIGUAMA",-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,7
"350280 ARACATUBA",-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,16
"350310 ARANDU",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350320 ARARAQUARA",7,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,9
"350330 ARARAS",2,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,19
"350380 ARTUR NOGUEIRA",-,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,5
"350390 ARUJA",4,2,-,-,-,-,-,-,-,-,-,-,68,4,-,-,-,-,78
"350400 ASSIS",2,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,5
"350410 ATIBAIA",-,1,-,-,-,-,-,-,-,-,-,-,57,1,-,1,-,-,60
"350430 AVAI",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"350450 AVARE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350460 BADY BASSITT",-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,6
"350520 BARIRI",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350530 BARRA BONITA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350540 BARRA DO TURVO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
"350550 BARRETOS",-,-,-,-,-,-,-,-,-,-,-,-,8,1,-,-,-,-,9
"350560 BARRINHA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350570 BARUERI",15,8,-,-,-,-,-,-,-,-,-,-,507,9,-,-,-,-,539
"350580 BASTOS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350590 BATATAIS",-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"350600 BAURU",1,-,-,-,-,-,3,-,-,-,-,-,87,3,-,-,-,-,94
"350610 BEBEDOURO",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"350635 BERTIOGA",-,-,-,-,-,-,-,-,-,-,-,-,8,34,-,-,-,-,42
"350650 BIRIGUI",1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,5
"350660 BIRITIBA-MIRIM",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350700 BOITUVA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350710 BOM JESUS DOS PERDOES",-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,4
"350750 BOTUCATU",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350760 BRAGANCA PAULISTA",3,-,-,-,-,-,-,-,-,-,-,-,33,3,-,-,-,-,39
"350780 BRODOWSKI",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"350790 BROTAS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350810 BURITAMA",-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2
"350840 CABREUVA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"350850 CACAPAVA",2,2,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,36
"350900 CAIEIRAS",2,1,-,-,-,-,-,-,-,-,-,-,200,2,-,-,-,-,205
"350920 CAJAMAR",2,1,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,27
"350925 CAJATI",-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5
"350930 CAJOBI",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"350950 CAMPINAS",18,33,-,-,1,-,-,1,-,-,-,-,199,37,1,-,-,-,290
"350960 CAMPO LIMPO PAULISTA",1,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,29
"350970 CAMPOS DO JORDAO",-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,4
"351000 CANDIDO MOTA",-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,7
"351010 CANDIDO RODRIGUES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"351020 CAPAO BONITO",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"351030 CAPELA DO ALTO",-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,-,-,-,8
"351050 CARAGUATATUBA",-,2,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,15
"351060 CARAPICUIBA",2,1,-,-,-,-,-,-,-,-,-,-,107,1,-,-,-,-,111
"351080 CASA BRANCA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"351110 CATANDUVA",-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,9
"351150 CERQUILHO",-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5
"351160 CESARIO LANGE",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"351170 CHARQUEADA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"351210 COLOMBIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351240 CORDEIROPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351250 COROADOS",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"351270 CORUMBATAI",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"351280 COSMOPOLIS",1,6,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,10
"351300 COTIA",-,1,-,-,-,-,-,-,-,-,-,-,138,9,-,-,-,-,148
"351310 CRAVINHOS",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"351340 CRUZEIRO",-,1,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,18
"351350 CUBATAO",-,3,-,-,1,-,-,-,-,-,-,-,20,6,-,1,-,-,31
"351370 DESCALVADO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351380 DIADEMA",42,19,-,-,-,-,-,-,-,-,-,-,124,2,-,-,-,-,187
"351390 DIVINOLANDIA",-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,9
"351410 DOIS CORREGOS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"351430 DOURADO",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"351440 DRACENA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"351450 DUARTINA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"351500 EMBU DAS ARTES",4,8,-,-,-,-,-,-,-,-,-,-,52,3,-,-,-,-,67
"351510 EMBU-GUACU",-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,23
"351515 ENGENHEIRO COELHO",-,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,5
"351518 ESPIRITO SANTO DO PINHAL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351550 FERNANDOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,98,2,-,-,-,-,100
"351570 FERRAZ DE VASCONCELOS",6,1,-,-,-,-,-,-,-,-,-,-,36,4,-,-,-,-,47
"351600 FLORIDA PAULISTA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351620 FRANCA",-,1,-,-,-,-,-,-,-,-,-,-,23,2,-,-,-,-,26
"351630 FRANCISCO MORATO",3,4,-,-,-,-,-,-,-,-,-,-,441,3,-,-,-,-,451
"351640 FRANCO DA ROCHA",6,4,-,-,-,-,-,-,-,-,-,-,403,1,-,-,-,-,414
"351670 GARCA",-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,6
"351690 GENERAL SALGADO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351700 GETULINA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351720 GUAICARA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"351740 GUAIRA",1,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,5
"351750 GUAPIACU",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351770 GUARA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"351830 GUARAREMA",-,-,-,-,-,-,-,-,-,-,-,-,31,6,-,-,-,-,37
"351840 GUARATINGUETA",-,1,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,6
"351860 GUARIBA",2,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,8
"351870 GUARUJA",-,-,-,-,-,-,-,-,-,-,-,-,41,11,-,-,-,-,52
"351880 GUARULHOS",25,12,1,-,-,-,-,-,-,-,-,-,792,35,-,-,-,-,865
"351905 HOLAMBRA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"351907 HORTOLANDIA",2,2,-,-,-,-,-,-,-,-,-,-,17,2,-,-,-,-,23
"351920 IACRI",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351930 IBATE",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"351940 IBIRA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"351950 IBIRAREMA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"351960 IBITINGA",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"351970 IBIUNA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352000 IGARACU DO TIETE",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"352030 IGUAPE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352040 ILHABELA",-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,7
"352044 ILHA SOLTEIRA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"352050 INDAIATUBA",1,-,-,-,-,-,-,-,-,-,-,-,39,1,-,-,-,-,41
"352060 INDIANA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"352090 IPAUSSU",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352100 IPERO",1,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,4
"352140 IRACEMAPOLIS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"352210 ITANHAEM",-,1,-,-,-,-,-,-,-,-,-,-,13,1,-,-,-,-,15
"352220 ITAPECERICA DA SERRA",5,2,-,-,-,-,-,-,-,-,-,-,79,1,-,-,-,-,87
"352230 ITAPETININGA",1,5,-,-,-,-,-,-,-,-,-,-,18,5,-,-,-,-,29
"352240 ITAPEVA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"352250 ITAPEVI",2,1,-,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,75
"352260 ITAPIRA",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"352270 ITAPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"352280 ITAPORANGA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352290 ITAPUI",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"352310 ITAQUAQUECETUBA",2,-,-,-,-,-,-,-,-,-,-,-,182,3,-,-,-,-,187
"352340 ITATIBA",5,1,-,-,-,-,-,-,-,-,-,-,8,1,-,-,-,-,15
"352350 ITATINGA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"352360 ITIRAPINA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352380 ITOBI",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352390 ITU",1,-,-,-,-,-,-,-,-,-,-,-,39,6,-,-,-,-,46
"352400 ITUPEVA",-,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,5
"352420 JABORANDI",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"352430 JABOTICABAL",-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,7
"352440 JACAREI",14,11,-,-,-,-,-,-,-,-,-,-,11,1,-,-,-,-,37
"352470 JAGUARIUNA",-,-,2,-,-,-,-,-,-,-,-,-,21,1,-,-,-,-,24
"352480 JALES",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"352500 JANDIRA",3,2,-,-,-,-,-,-,-,-,-,1,47,1,-,-,-,-,54
"352510 JARDINOPOLIS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"352520 JARINU",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352530 JAU",-,1,-,-,-,-,-,-,-,-,-,-,17,3,-,-,-,-,21
"352550 JOANOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5
"352570 JOSE BONIFACIO",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"352585 JUMIRIM",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352590 JUNDIAI",3,-,-,-,-,-,-,-,-,-,-,-,182,-,-,-,-,-,185
"352600 JUNQUEIROPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"352610 JUQUIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352620 JUQUITIBA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"352640 LARANJAL PAULISTA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352670 LEME",-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,3
"352680 LENCOIS PAULISTA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"352690 LIMEIRA",7,1,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,62
"352710 LINS",-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"352720 LORENA",-,1,-,-,-,-,-,-,-,-,-,-,11,1,-,-,-,-,13
"352730 LOUVEIRA",-,4,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,10
"352740 LUCELIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"352760 LUIS ANTONIO",-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,3
"352800 MACATUBA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"352830 MAGDA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"352840 MAIRINQUE",-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,5
"352850 MAIRIPORA",2,-,-,-,-,-,-,-,-,-,-,-,91,1,-,-,-,-,94
"352890 MARIAPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"352900 MARILIA",13,1,-,-,-,-,-,-,-,-,-,-,37,4,-,-,-,-,55
"352930 MATAO",-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,3
"352940 MAUA",21,5,-,-,-,-,-,-,-,-,-,-,275,11,-,-,-,1,313
"352960 MERIDIANO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353010 MIRANDOPOLIS",1,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4
"353030 MIRASSOL",-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,12
"353040 MIRASSOLANDIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353050 MOCOCA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353060 MOGI DAS CRUZES",15,4,-,-,-,-,-,-,-,-,-,-,211,10,-,-,-,-,240
"353070 MOGI GUACU",1,1,-,-,-,-,-,-,-,-,-,-,12,3,-,-,-,-,17
"353080 MOGI MIRIM",-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,9
"353110 MONGAGUA",-,-,-,-,-,-,-,-,-,-,-,-,22,4,-,-,-,-,26
"353120 MONTE ALEGRE DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353130 MONTE ALTO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353140 MONTE APRAZIVEL",6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
"353180 MONTE MOR",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"353190 MORRO AGUDO",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"353200 MORUNGABA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"353240 NAZARE PAULISTA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"353250 NEVES PAULISTA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"353260 NHANDEARA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353270 NIPOA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"353300 NOVA GRANADA",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"353340 NOVA ODESSA",-,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"353350 NOVO HORIZONTE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"353360 NUPORANGA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353390 OLIMPIA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"353410 ORIENTE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353440 OSASCO",16,3,-,-,-,-,-,-,-,-,-,-,314,-,1,-,-,-,334
"353470 OURINHOS",-,1,-,-,-,-,-,-,-,-,-,-,24,1,-,-,-,-,26
"353490 PACAEMBU",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353520 PALMEIRA D'OESTE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353540 PANORAMA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353550 PARAGUACU PAULISTA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"353560 PARAIBUNA",2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"353600 PARAPUA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353620 PARIQUERA-ACU",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"353650 PAULINIA",3,5,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,39
"353670 PEDERNEIRAS",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"353680 PEDRA BELA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353710 PEDREIRA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"353720 PEDRO DE TOLEDO",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"353730 PENAPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"353740 PEREIRA BARRETO",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"353760 PERUIBE",1,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,26
"353780 PIEDADE",-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,4
"353790 PILAR DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"353800 PINDAMONHANGABA",1,1,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,15
"353820 PINHALZINHO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"353870 PIRACICABA",1,-,-,-,-,-,-,-,-,-,-,-,10,2,1,-,-,-,14
"353880 PIRAJU",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353890 PIRAJUI",2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
"353910 PIRAPORA DO BOM JESUS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"353930 PIRASSUNUNGA",1,-,-,-,-,-,-,-,-,-,-,-,1,98,-,-,-,-,100
"353940 PIRATININGA",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"353980 POA",1,1,-,-,-,-,-,-,-,-,-,-,67,4,-,1,-,-,74
"354010 PONGAI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"354020 PONTAL",-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,5
"354060 PORTO FELIZ",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"354070 PORTO FERREIRA",-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,10
"354075 POTIM",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"354080 POTIRENDABA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354090 PRADOPOLIS",1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
"354100 PRAIA GRANDE",-,-,-,-,-,-,-,-,-,-,-,1,104,13,-,-,-,-,118
"354130 PRESIDENTE EPITACIO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354140 PRESIDENTE PRUDENTE",-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,14
"354150 PRESIDENTE VENCESLAU",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"354160 PROMISSAO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354190 QUELUZ",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"354200 QUINTANA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"354220 RANCHARIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354240 REGENTE FEIJO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354260 REGISTRO",1,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,-,-,7
"354320 RIBEIRAO DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354330 RIBEIRAO PIRES",-,-,-,-,-,-,-,-,-,-,-,-,91,3,-,-,-,-,94
"354340 RIBEIRAO PRETO",4,3,-,-,-,-,-,-,-,-,-,1,82,4,-,-,-,-,94
"354370 RINCAO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354390 RIO CLARO",-,1,-,-,-,-,-,-,-,-,-,-,15,1,-,-,-,-,17
"354400 RIO DAS PEDRAS",-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"354410 RIO GRANDE DA SERRA",-,-,-,-,-,-,-,-,-,-,-,-,41,1,-,-,-,-,42
"354425 ROSANA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354450 RUBINEIA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"354480 SALES",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"354490 SALES OLIVEIRA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354515 SALTINHO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"354520 SALTO",-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,10
"354530 SALTO DE PIRAPORA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354540 SALTO GRANDE",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"354560 SANTA ADELIA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
