 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"171840 PRESIDENTE KENNEDY";27,15;32,42;25,17;15,27;-;100,00
"171875 RIO SONO";34,92;32,91;23,50;8,67;-;100,00
"171880 SAMPAIO";52,85;31,78;14,16;1,21;-;100,00
"171890 SANTA ROSA DO TOCANTINS";42,86;33,95;20,41;2,78;-;100,00
"171900 SANTA TEREZA DO TOCANTINS";33,33;29,76;25,54;11,37;-;100,00
"172030 SAO SEBASTIAO DO TOCANTINS";49,40;24,75;18,44;7,41;-;100,00
"172049 SAO VALERIO";35,16;31,57;23,85;9,41;-;100,00
"172065 SILVANOPOLIS";34,51;22,85;32,38;10,27;-;100,00
"172080 SITIO NOVO DO TOCANTINS";42,25;25,83;22,81;9,11;-;100,00
"172090 TAGUATINGA";40,64;25,88;22,63;10,85;-;100,00
"172100 PALMAS";16,74;18,49;39,29;25,48;-;100,00
"172110 TOCANTINIA";32,34;25,49;25,26;16,91;-;100,00
"172120 TOCANTINOPOLIS";36,43;22,12;27,65;13,70;0,10;100,00
"172208 WANDERLANDIA";38,03;22,57;28,48;10,92;-;100,00
"172210 XAMBIOA";32,35;20,79;33,26;13,60;-;100,00
"210005 ACAILANDIA";43,99;19,41;24,18;12,33;0,09;100,00
"210010 AFONSO CUNHA";60,11;21,18;13,79;4,92;-;100,00
"210020 ALCANTARA";42,90;27,52;21,61;7,98;-;100,00
"210030 ALDEIAS ALTAS";62,20;21,25;12,71;3,84;-;100,00
"210040 ALTAMIRA DO MARANHAO";60,05;21,29;14,51;4,15;-;100,00
"210050 ALTO PARNAIBA";33,83;33,92;20,72;11,53;-;100,00
"210060 AMARANTE DO MARANHAO";49,35;24,83;16,37;8,98;0,47;100,00
"210070 ANAJATUBA";57,40;15,97;20,50;6,13;-;100,00
"210080 ANAPURUS";50,04;25,96;14,71;9,29;-;100,00
"210090 ARAIOSES";66,57;19,01;11,30;3,12;-;100,00
"210095 ARAME";54,70;25,37;16,12;3,82;-;100,00
"210100 ARARI";38,17;23,98;25,15;12,70;-;100,00
"210110 AXIXA";29,18;27,77;27,70;15,35;-;100,00
"210120 BACABAL";39,23;20,28;23,67;16,77;0,05;100,00
"210130 BACURI";41,24;34,35;20,17;4,25;-;100,00
"210140 BALSAS";34,54;25,45;25,80;14,17;0,05;100,00
"210150 BARAO DE GRAJAU";57,20;13,34;16,14;13,32;-;100,00
"210160 BARRA DO CORDA";48,79;21,39;20,82;8,94;0,06;100,00
"210170 BARREIRINHAS";47,56;27,85;18,56;6,04;-;100,00
"210180 BENEDITO LEITE";49,51;26,03;17,89;6,57;-;100,00
"210190 BEQUIMAO";42,48;27,53;21,94;7,80;0,26;100,00
"210200 BOM JARDIM";66,14;15,74;13,05;5,00;0,07;100,00
"210210 BREJO";55,72;13,91;20,00;10,38;-;100,00
"210220 BURITI";59,55;21,67;13,32;5,46;-;100,00
