 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"412680 TAPEJARA";24,17;25,69;34,66;15,47;-;100,00
"412690 TAPIRA";29,33;21,97;34,44;14,26;-;100,00
"412700 TEIXEIRA SOARES";14,41;35,85;38,54;10,87;0,34;100,00
"412710 TELEMACO BORBA";18,46;21,95;35,46;23,97;0,15;100,00
"412720 TERRA BOA";23,74;23,04;32,83;20,38;-;100,00
"412730 TERRA RICA";23,50;24,80;32,75;18,94;-;100,00
"412740 TERRA ROXA";19,93;20,07;38,47;21,53;-;100,00
"412750 TIBAGI";28,94;27,15;33,30;10,62;-;100,00
"412760 TIJUCAS DO SUL";17,51;33,19;38,35;10,96;-;100,00
"412770 TOLEDO";11,98;18,79;40,58;28,62;0,03;100,00
"412780 TOMAZINA";27,25;24,95;32,76;15,05;-;100,00
"412785 TRES BARRAS DO PARANA";21,15;26,22;37,24;15,39;-;100,00
"412790 TUNEIRAS DO OESTE";28,28;20,63;33,94;17,08;0,07;100,00
"412795 TUPASSI";16,85;21,19;35,17;26,58;0,20;100,00
"412796 TURVO";18,46;36,45;36,76;8,33;-;100,00
"412800 UBIRATA";18,54;21,37;40,47;19,55;0,07;100,00
"412810 UMUARAMA";19,11;18,96;32,79;29,11;0,04;100,00
"412820 UNIAO DA VITORIA";7,82;19,89;39,16;32,93;0,20;100,00
"412830 UNIFLOR";25,92;19,00;37,93;17,15;-;100,00
"412840 URAI";25,16;18,99;30,56;25,28;-;100,00
"412850 WENCESLAU BRAZ";22,73;22,68;35,83;18,76;-;100,00
"412855 VERA CRUZ DO OESTE";20,78;23,92;32,73;22,57;-;100,00
"412860 VERE";14,17;26,29;46,17;13,37;-;100,00
"412870 VITORINO";11,70;20,69;46,51;21,10;-;100,00
"412880 XAMBRE";28,46;22,19;33,49;15,69;0,17;100,00
"420005 ABDON BATISTA";16,82;21,86;47,24;14,08;-;100,00
"420010 ABELARDO LUZ";16,65;18,92;46,33;18,04;0,06;100,00
"420020 AGROLANDIA";8,04;24,19;48,74;19,03;-;100,00
"420030 AGRONOMICA";8,77;26,31;45,23;19,34;0,34;100,00
"420040 AGUA DOCE";10,92;21,80;45,38;21,28;0,62;100,00
"420050 AGUAS DE CHAPECO";9,63;21,76;53,39;15,22;-;100,00
"420060 AGUAS MORNAS";11,35;24,49;49,67;14,49;-;100,00
"420070 ALFREDO WAGNER";13,43;20,93;53,43;12,21;-;100,00
"420080 ANCHIETA";10,19;19,19;54,89;15,74;-;100,00
"420090 ANGELINA";15,74;24,05;43,24;16,97;-;100,00
"420100 ANITA GARIBALDI";19,90;20,38;44,59;15,14;-;100,00
"420110 ANITAPOLIS";14,32;26,21;48,64;10,82;-;100,00
"420120 ANTONIO CARLOS";9,69;26,17;45,22;18,92;-;100,00
"420125 APIUNA";15,30;17,42;54,13;13,14;-;100,00
"420130 ARAQUARI";9,99;27,12;42,85;20,04;-;100,00
"420140 ARARANGUA";10,39;19,44;39,95;30,20;0,03;100,00
"420150 ARMAZEM";13,01;20,57;41,30;25,12;-;100,00
"420160 ARROIO TRINTA";12,42;15,28;44,46;27,83;-;100,00
"420170 ASCURRA";10,44;21,91;42,89;24,76;-;100,00
"420180 ATALANTA";5,50;19,03;54,47;21,00;-;100,00
"420190 AURORA";4,78;24,38;58,49;12,35;-;100,00
"420200 BALNEARIO CAMBORIU";5,77;13,75;32,33;47,84;0,31;100,00
"420210 BARRA VELHA";15,17;21,90;37,13;25,81;-;100,00
"420220 BENEDITO NOVO";5,88;25,20;49,17;19,74;-;100,00
"420230 BIGUACU";11,81;15,01;38,74;34,44;-;100,00
"420240 BLUMENAU";3,57;12,81;42,51;41,06;0,05;100,00
"420250 BOM JARDIM DA SERRA";12,42;20,29;50,11;17,18;-;100,00
"420260 BOM RETIRO";13,44;22,53;43,24;20,79;-;100,00
"420270 BOTUVERA";11,03;21,63;54,03;13,20;0,10;100,00
"420280 BRACO DO NORTE";8,58;16,26;39,86;35,04;0,26;100,00
"420290 BRUSQUE";5,66;10,02;49,44;34,74;0,13;100,00
"420300 CACADOR";11,47;17,81;42,51;28,11;0,10;100,00
"420310 CAIBI";9,17;18,45;51,46;20,92;-;100,00
"420320 CAMBORIU";13,72;21,30;46,06;18,92;-;100,00
"420330 CAMPO ALEGRE";9,57;19,36;52,39;18,59;0,09;100,00
"420340 CAMPO BELO DO SUL";26,31;24,23;38,66;10,79;-;100,00
"420350 CAMPO ERE";12,65;24,82;51,31;11,22;-;100,00
"420360 CAMPOS NOVOS";17,47;17,34;44,10;20,97;0,12;100,00
"420370 CANELINHA";14,23;24,82;40,03;20,92;-;100,00
"420380 CANOINHAS";8,89;14,16;48,19;28,68;0,08;100,00
"420390 CAPINZAL";9,84;15,32;50,57;24,27;-;100,00
"420400 CATANDUVAS";12,28;16,69;46,90;24,06;0,06;100,00
"420410 CAXAMBU DO SUL";13,85;18,17;48,04;19,87;0,07;100,00
"420415 CELSO RAMOS";9,02;20,96;51,30;18,71;-;100,00
"420420 CHAPECO";10,57;13,09;45,29;31,00;0,04;100,00
"420430 CONCORDIA";7,52;13,26;51,04;28,07;0,10;100,00
"420440 CORONEL FREITAS";11,51;17,89;50,80;19,80;-;100,00
"420450 CORUPA";5,55;20,98;49,30;24,07;0,10;100,00
"420455 CORREIA PINTO";14,88;20,95;40,61;23,57;-;100,00
"420460 CRICIUMA";6,20;16,82;37,23;39,75;0,01;100,00
"420470 CUNHA PORA";4,18;18,79;57,39;19,64;-;100,00
"420480 CURITIBANOS";14,33;21,52;36,18;27,94;0,03;100,00
"420490 DESCANSO";8,82;19,28;53,05;18,84;-;100,00
"420500 DIONISIO CERQUEIRA";18,11;16,53;47,88;17,35;0,13;100,00
"420510 DONA EMMA";18,64;14,79;51,86;14,71;-;100,00
"420515 DOUTOR PEDRINHO";5,45;26,84;46,85;20,86;-;100,00
"420520 ERVAL VELHO";12,73;18,80;47,89;20,58;-;100,00
"420530 FAXINAL DOS GUEDES";12,31;15,81;50,76;20,95;0,17;100,00
"420540 FLORIANOPOLIS";4,93;8,47;24,51;61,89;0,20;100,00
"420545 FORQUILHINHA";8,26;26,31;47,02;18,41;-;100,00
"420550 FRAIBURGO";10,87;14,11;46,43;28,57;0,03;100,00
"420560 GALVAO";17,28;20,01;45,75;16,90;0,06;100,00
"420570 GAROPABA";19,39;23,92;39,27;17,38;0,04;100,00
"420580 GARUVA";8,04;27,06;46,49;18,41;-;100,00
"420590 GASPAR";5,75;15,38;48,22;30,57;0,08;100,00
"420600 GOVERNADOR CELSO RAMOS";14,01;18,62;41,67;25,70;-;100,00
"420610 GRAO PARA";8,42;24,13;46,17;21,28;-;100,00
"420620 GRAVATAL";14,45;22,62;35,05;27,89;-;100,00
"420630 GUABIRUBA";6,10;11,01;62,05;20,84;-;100,00
"420640 GUARACIABA";6,46;16,28;59,72;17,54;-;100,00
"420650 GUARAMIRIM";6,17;17,95;49,26;26,61;-;100,00
"420660 GUARUJA DO SUL";6,19;15,87;58,13;19,81;-;100,00
"420670 HERVAL D'OESTE";11,14;15,11;42,38;31,26;0,11;100,00
"420680 IBICARE";5,86;25,48;49,79;18,68;0,19;100,00
"420690 IBIRAMA";8,44;19,39;48,31;23,86;-;100,00
"420700 ICARA";8,73;25,41;44,74;21,04;0,08;100,00
"420710 ILHOTA";11,07;19,10;51,62;17,92;0,30;100,00
"420720 IMARUI";16,80;28,84;37,87;16,41;0,09;100,00
"420730 IMBITUBA";12,59;16,63;36,84;33,87;0,08;100,00
"420740 IMBUIA";12,47;18,77;51,64;17,12;-;100,00
"420750 INDAIAL";4,93;19,78;48,88;26,36;0,05;100,00
"420760 IPIRA";3,35;15,07;66,61;14,97;-;100,00
"420765 IPORA DO OESTE";3,16;7,54;66,55;22,75;-;100,00
"420770 IPUMIRIM";8,86;18,44;54,54;18,15;-;100,00
"420775 IRACEMINHA";7,54;15,48;61,24;15,45;0,29;100,00
"420780 IRANI";11,95;16,69;58,50;12,86;-;100,00
"420790 IRINEOPOLIS";13,49;23,85;49,60;13,00;0,06;100,00
"420800 ITA";8,71;18,47;53,21;19,23;0,38;100,00
"420810 ITAIOPOLIS";11,03;22,39;49,59;16,91;0,08;100,00
"420820 ITAJAI";6,25;14,66;39,30;39,70;0,09;100,00
"420830 ITAPEMA";8,61;20,48;44,08;26,83;-;100,00
"420840 ITAPIRANGA";2,08;10,12;61,07;26,73;-;100,00
"420845 ITAPOA";12,85;18,75;44,89;23,51;-;100,00
"420850 ITUPORANGA";9,23;20,74;49,97;19,90;0,16;100,00
"420860 JABORA";15,22;12,17;51,95;20,66;-;100,00
"420870 JACINTO MACHADO";13,61;31,49;39,08;15,35;0,48;100,00
"420880 JAGUARUNA";13,74;27,32;40,11;18,83;-;100,00
"420890 JARAGUA DO SUL";3,94;14,39;43,31;38,31;0,05;100,00
"420900 JOACABA";7,35;11,47;39,18;41,79;0,22;100,00
"420910 JOINVILLE";5,35;14,70;39,07;40,83;0,04;100,00
"420915 JOSE BOITEUX";13,54;28,89;47,03;10,55;-;100,00
"420920 LACERDOPOLIS";9,97;15,65;51,30;23,08;-;100,00
"420930 LAGES";10,79;17,07;36,45;35,54;0,15;100,00
"420940 LAGUNA";11,61;17,80;39,81;30,70;0,07;100,00
"420950 LAURENTINO";8,66;14,04;53,17;23,96;0,17;100,00
"420960 LAURO MULLER";10,17;20,16;43,86;25,58;0,23;100,00
"420970 LEBON REGIS";21,00;26,91;36,26;15,83;-;100,00
"420980 LEOBERTO LEAL";12,75;21,95;53,95;11,35;-;100,00
"420985 LINDOIA DO SUL";10,67;17,45;56,14;15,74;-;100,00
"420990 LONTRAS";9,78;25,94;48,33;15,95;-;100,00
"421000 LUIZ ALVES";6,58;21,51;49,89;21,86;0,16;100,00
"421010 MAFRA";5,83;14,74;48,08;31,21;0,14;100,00
"421020 MAJOR GERCINO";18,56;18,20;43,39;19,84;-;100,00
"421030 MAJOR VIEIRA";14,41;23,59;48,14;13,86;-;100,00
"421040 MARACAJA";12,34;29,32;39,10;19,24;-;100,00
"421050 MARAVILHA";9,98;14,22;52,79;22,96;0,06;100,00
"421055 MAREMA";20,31;17,20;46,42;15,95;0,12;100,00
"421060 MASSARANDUBA";8,05;19,79;51,02;21,14;-;100,00
"421070 MATOS COSTA";14,81;29,73;41,09;14,38;-;100,00
"421080 MELEIRO";9,64;32,59;39,71;18,02;0,05;100,00
"421090 MODELO";8,12;12,38;61,66;17,84;-;100,00
"421100 MONDAI";7,68;12,85;61,39;18,08;-;100,00
"421110 MONTE CASTELO";16,29;20,48;46,17;17,06;-;100,00
"421120 MORRO DA FUMACA";8,42;28,85;41,75;20,49;0,49;100,00
"421130 NAVEGANTES";11,28;17,84;41,29;29,53;0,06;100,00
"421140 NOVA ERECHIM";8,19;18,47;51,04;22,30;-;100,00
"421150 NOVA TRENTO";8,47;18,10;50,37;23,06;-;100,00
"421160 NOVA VENEZA";7,82;27,05;37,00;28,13;-;100,00
"421170 ORLEANS";8,78;24,37;42,47;24,38;-;100,00
"421175 OTACILIO COSTA";12,19;20,16;43,04;24,47;0,14;100,00
"421180 OURO";6,35;14,01;59,06;20,58;-;100,00
"421190 PALHOCA";9,43;15,76;38,25;36,49;0,07;100,00
"421200 PALMA SOLA";13,08;19,73;50,32;16,79;0,09;100,00
"421210 PALMITOS";8,46;18,94;52,29;20,31;-;100,00
"421220 PAPANDUVA";10,35;23,04;47,55;19,05;-;100,00
"421230 PAULO LOPES";20,15;19,54;42,88;17,43;-;100,00
"421240 PEDRAS GRANDES";8,75;30,49;44,65;16,10;-;100,00
"421250 PENHA";10,49;26,61;41,42;21,48;-;100,00
"421260 PERITIBA";3,56;17,10;60,42;18,92;-;100,00
"421270 PETROLANDIA";12,53;17,64;54,09;15,74;-;100,00
"421280 BALNEARIO PICARRAS";12,24;19,09;40,90;27,58;0,19;100,00
"421290 PINHALZINHO";8,24;11,59;56,25;23,92;-;100,00
"421300 PINHEIRO PRETO";2,01;23,51;45,98;28,50;-;100,00
"421310 PIRATUBA";7,39;16,30;60,97;15,34;-;100,00
"421320 POMERODE";1,89;23,52;50,79;23,79;-;100,00
"421330 PONTE ALTA";18,30;20,65;42,65;18,40;-;100,00
"421340 PONTE SERRADA";14,69;17,62;47,97;19,71;-;100,00
"421350 PORTO BELO";8,56;20,24;49,90;21,15;0,15;100,00
"421360 PORTO UNIAO";7,27;16,06;41,92;34,67;0,08;100,00
"421370 POUSO REDONDO";8,37;26,36;47,90;17,22;0,15;100,00
"421380 PRAIA GRANDE";15,52;25,99;40,80;17,56;0,12;100,00
"421390 PRESIDENTE CASTELLO BRANCO";4,48;11,59;68,43;15,51;-;100,00
"421400 PRESIDENTE GETULIO";6,19;21,41;46,40;26,00;-;100,00
"421410 PRESIDENTE NEREU";16,51;26,69;48,78;8,02;-;100,00
"421420 QUILOMBO";15,16;15,64;51,01;18,20;-;100,00
"421430 RANCHO QUEIMADO";10,80;28,13;38,80;22,27;-;100,00
"421440 RIO DAS ANTAS";11,73;13,72;52,10;22,45;-;100,00
"421450 RIO DO CAMPO";9,68;22,06;51,11;17,03;0,12;100,00
"421460 RIO DO OESTE";8,40;15,21;56,73;19,65;-;100,00
"421470 RIO DOS CEDROS";3,93;21,88;53,69;20,50;-;100,00
"421480 RIO DO SUL";6,22;16,38;41,54;35,82;0,03;100,00
"421490 RIO FORTUNA";7,71;11,41;57,73;23,14;-;100,00
"421500 RIO NEGRINHO";6,34;15,91;49,57;28,10;0,09;100,00
"421510 RODEIO";5,12;20,08;50,72;24,01;0,06;100,00
"421520 ROMELANDIA";8,64;24,92;55,26;11,18;-;100,00
"421530 SALETE";7,42;21,47;48,15;22,90;0,07;100,00
"421540 SALTO VELOSO";10,63;14,18;52,19;22,77;0,22;100,00
"421550 SANTA CECILIA";14,74;22,69;43,77;18,79;-;100,00
"421560 SANTA ROSA DE LIMA";10,02;18,50;55,82;15,65;-;100,00
"421565 SANTA ROSA DO SUL";15,89;26,03;43,72;14,28;0,08;100,00
"421570 SANTO AMARO DA IMPERATRIZ";7,75;18,78;40,69;32,78;-;100,00
"421580 SAO BENTO DO SUL";5,53;15,71;50,30;28,45;-;100,00
"421590 SAO BONIFACIO";6,16;24,16;48,66;21,02;-;100,00
"421600 SAO CARLOS";8,06;7,59;61,47;22,85;0,04;100,00
"421610 SAO DOMINGOS";11,60;21,08;50,73;16,59;-;100,00
"421620 SAO FRANCISCO DO SUL";7,36;16,04;42,66;33,93;-;100,00
"421630 SAO JOAO BATISTA";10,84;21,01;44,46;23,69;-;100,00
"421640 SAO JOAO DO SUL";13,54;28,28;39,52;18,66;-;100,00
"421650 SAO JOAQUIM";11,12;17,76;42,30;28,83;-;100,00
"421660 SAO JOSE";7,21;10,84;31,54;50,39;0,03;100,00
"421670 SAO JOSE DO CEDRO";6,64;19,70;55,92;17,74;-;100,00
"421680 SAO JOSE DO CERRITO";14,76;23,70;49,16;11,91;0,47;100,00
"421690 SAO LOURENCO DO OESTE";11,59;16,93;52,77;18,71;-;100,00
"421700 SAO LUDGERO";6,48;16,96;49,62;26,74;0,20;100,00
"421710 SAO MARTINHO";9,28;20,65;46,35;23,43;0,29;100,00
"421720 SAO MIGUEL DO OESTE";7,80;15,81;49,75;26,60;0,04;100,00
"421730 SAUDADES";4,06;8,98;69,35;17,62;-;100,00
"421740 SCHROEDER";2,30;15,48;57,46;24,49;0,27;100,00
"421750 SEARA";10,59;11,78;58,08;19,56;-;100,00
"421755 SERRA ALTA";8,17;13,65;59,48;18,69;-;100,00
"421760 SIDEROPOLIS";6,78;24,73;37,80;30,64;0,05;100,00
"421770 SOMBRIO";12,71;23,92;41,44;21,90;0,03;100,00
"421780 TAIO";9,70;22,62;46,24;21,44;-;100,00
"421790 TANGARA";12,75;13,52;53,63;20,01;0,10;100,00
"421800 TIJUCAS";13,70;18,73;37,63;29,95;-;100,00
"421810 TIMBE DO SUL";13,39;27,31;44,39;14,91;-;100,00
"421820 TIMBO";3,64;14,83;47,92;33,57;0,04;100,00
"421825 TIMBO GRANDE";18,25;17,48;51,58;12,68;-;100,00
"421830 TRES BARRAS";12,60;18,18;46,71;22,51;-;100,00
"421840 TREZE DE MAIO";13,27;27,69;43,71;15,24;0,10;100,00
"421850 TREZE TILIAS";9,57;20,16;44,50;24,98;0,80;100,00
"421860 TROMBUDO CENTRAL";6,74;21,11;50,16;21,94;0,05;100,00
"421870 TUBARAO";6,70;15,78;36,12;41,36;0,03;100,00
"421875 TUNAPOLIS";1,30;11,61;65,06;22,03;-;100,00
"421880 TURVO";12,34;23,13;40,53;23,66;0,34;100,00
"421885 UNIAO DO OESTE";16,69;14,55;55,39;13,37;-;100,00
"421890 URUBICI";11,18;24,12;41,00;23,69;-;100,00
"421895 URUPEMA";8,85;18,80;48,92;23,43;-;100,00
"421900 URUSSANGA";7,01;19,57;42,00;31,41;0,01;100,00
"421910 VARGEAO";10,50;18,25;46,51;24,74;-;100,00
"421920 VIDAL RAMOS";12,62;24,02;53,44;9,69;0,23;100,00
"421930 VIDEIRA";8,83;15,30;44,13;31,74;-;100,00
"421935 VITOR MEIRELES";8,28;30,00;51,32;10,40;-;100,00
"421940 WITMARSUM";10,66;22,63;54,16;12,55;-;100,00
"421950 XANXERE";13,83;13,64;42,12;30,23;0,17;100,00
"421960 XAVANTINA";10,07;17,57;57,99;14,37;-;100,00
"421970 XAXIM";12,57;17,33;46,02;24,05;0,04;100,00
"430005 AGUA SANTA";12,70;23,86;49,77;13,67;-;100,00
"430010 AGUDO";9,39;20,12;53,25;17,14;0,10;100,00
"430020 AJURICABA";9,15;16,76;54,24;19,86;-;100,00
"430030 ALECRIM";7,99;18,79;59,28;13,94;-;100,00
"430040 ALEGRETE";11,83;15,15;40,78;32,23;0,02;100,00
"430045 ALEGRIA";14,70;19,68;54,14;11,48;-;100,00
"430050 ALPESTRE";14,84;24,96;51,47;8,74;-;100,00
"430055 ALTO ALEGRE";8,93;21,40;41,90;27,76;-;100,00
"430060 ALVORADA";9,99;16,23;49,53;24,19;0,05;100,00
"430063 AMARAL FERRADOR";30,36;29,99;31,86;7,79;-;100,00
"430066 ANDRE DA ROCHA";10,08;20,03;50,00;19,90;-;100,00
"430070 ANTA GORDA";7,82;20,46;56,98;14,74;-;100,00
"430080 ANTONIO PRADO";9,86;19,44;44,75;25,87;0,07;100,00
"430090 ARATIBA";7,49;14,63;63,59;14,30;-;100,00
"430100 ARROIO DO MEIO";3,91;7,93;66,45;21,71;-;100,00
"430105 ARROIO DO SAL";11,59;22,36;48,56;16,59;0,91;100,00
"430110 ARROIO DOS RATOS";16,31;18,53;43,64;21,52;-;100,00
"430120 ARROIO DO TIGRE";11,32;23,44;51,76;13,48;-;100,00
"430130 ARROIO GRANDE";17,65;19,71;41,26;21,37;-;100,00
"430140 ARVOREZINHA";12,40;20,69;52,04;14,82;0,06;100,00
"430150 AUGUSTO PESTANA";5,67;13,16;61,82;19,36;-;100,00
"430155 AUREA";5,69;22,73;60,79;10,80;-;100,00
"430160 BAGE";12,70;13,87;37,71;35,70;0,02;100,00
"430165 BARAO";8,76;13,62;62,27;15,23;0,12;100,00
"430170 BARAO DE COTEGIPE";6,07;19,85;57,03;16,94;0,11;100,00
"430180 BARRACAO";18,15;21,53;44,94;15,19;0,20;100,00
"430190 BARRA DO RIBEIRO";16,46;20,33;44,29;18,92;-;100,00
"430200 BARROS CASSAL";19,86;27,29;42,22;10,62;-;100,00
"430210 BENTO GONCALVES";5,24;14,05;46,54;33,97;0,20;100,00
"430220 BOA VISTA DO BURICA";3,30;9,39;67,41;19,85;0,06;100,00
"430230 BOM JESUS";14,09;23,18;43,98;18,76;-;100,00
"430235 BOM PRINCIPIO";1,13;7,03;69,09;22,75;-;100,00
"430240 BOM RETIRO DO SUL";7,19;18,15;58,38;16,24;0,04;100,00
"430245 BOQUEIRAO DO LEAO";14,37;21,06;50,83;13,73;-;100,00
"430250 BOSSOROCA";16,37;19,68;45,73;18,16;0,06;100,00
"430260 BRAGA";20,65;19,81;46,70;12,84;-;100,00
"430265 BROCHIER";5,33;14,84;69,46;10,36;-;100,00
"430270 BUTIA";17,76;20,84;43,97;17,27;0,15;100,00
"430280 CACAPAVA DO SUL";16,10;18,84;41,08;23,78;0,20;100,00
"430290 CACEQUI";14,32;16,61;43,55;25,39;0,12;100,00
"430300 CACHOEIRA DO SUL";14,36;16,52;40,07;28,97;0,08;100,00
"430310 CACHOEIRINHA";7,53;13,98;45,31;33,09;0,10;100,00
"430320 CACIQUE DOBLE";15,44;16,87;50,11;17,58;-;100,00
"430330 CAIBATE";12,16;17,16;51,13;19,55;-;100,00
"430340 CAICARA";8,77;19,46;55,25;16,52;-;100,00
"430350 CAMAQUA";14,67;23,51;43,23;18,56;0,03;100,00
"430355 CAMARGO";14,02;18,14;53,82;14,02;-;100,00
"430360 CAMBARA DO SUL";13,16;24,01;44,85;17,98;-;100,00
"430370 CAMPINA DAS MISSOES";2,87;10,04;64,22;22,87;-;100,00
"430380 CAMPINAS DO SUL";8,84;19,18;53,32;18,66;-;100,00
"430390 CAMPO BOM";6,94;17,56;51,99;23,40;0,11;100,00
"430400 CAMPO NOVO";15,82;16,88;43,68;23,62;-;100,00
"430410 CAMPOS BORGES";15,53;22,74;48,16;13,57;-;100,00
"430420 CANDELARIA";15,31;23,13;46,38;15,19;-;100,00
"430430 CANDIDO GODOI";3,90;13,49;62,26;20,27;0,08;100,00
"430440 CANELA";10,28;19,38;45,83;24,51;-;100,00
"430450 CANGUCU";16,94;24,79;47,45;10,82;-;100,00
"430460 CANOAS";7,41;13,48;43,33;35,67;0,11;100,00
"430463 CAPAO DA CANOA";10,63;17,98;47,74;23,61;0,04;100,00
"430466 CAPAO DO LEAO";18,05;23,12;43,29;15,47;0,07;100,00
"430468 CAPELA DE SANTANA";13,07;23,18;50,24;13,38;0,14;100,00
"430470 CARAZINHO";8,61;15,14;44,12;32,02;0,10;100,00
"430480 CARLOS BARBOSA";5,84;15,07;53,61;25,43;0,05;100,00
"430490 CASCA";12,07;13,56;51,15;23,21;-;100,00
"430495 CASEIROS";16,85;17,73;53,42;12,00;-;100,00
"430500 CATUIPE";10,76;16,50;48,22;24,53;-;100,00
"430510 CAXIAS DO SUL";5,86;13,77;42,60;37,61;0,16;100,00
"430513 CERRO BRANCO";14,33;30,03;44,47;11,17;-;100,00
"430515 CERRO GRANDE";13,45;31,97;44,84;9,74;-;100,00
"430517 CERRO GRANDE DO SUL";19,11;23,95;46,99;9,87;0,07;100,00
"430520 CERRO LARGO";5,41;7,97;58,65;27,97;-;100,00
"430530 CHAPADA";4,74;16,03;61,51;17,72;-;100,00
"430535 CHARQUEADAS";10,02;14,54;46,81;28,10;0,53;100,00
"430540 CHIAPETTA";15,26;20,50;48,03;16,21;-;100,00
"430545 CIDREIRA";13,22;22,87;41,41;22,43;0,07;100,00
"430550 CIRIACO";16,51;19,27;47,91;16,20;0,10;100,00
"430560 COLORADO";7,67;17,49;53,52;21,32;-;100,00
"430570 CONDOR";9,45;17,67;53,43;19,45;-;100,00
"430580 CONSTANTINA";9,88;19,85;54,16;16,11;-;100,00
"430590 CORONEL BICACO";15,60;24,69;43,85;15,85;-;100,00
"430595 COTIPORA";6,18;18,67;58,71;16,45;-;100,00
"430600 CRISSIUMAL";6,34;17,10;58,48;18,00;0,08;100,00
"430605 CRISTAL";17,87;27,97;40,60;13,56;-;100,00
"430610 CRUZ ALTA";8,25;14,54;41,79;35,28;0,13;100,00
"430620 CRUZEIRO DO SUL";5,24;11,42;62,97;20,37;-;100,00
"430630 DAVID CANABARRO";9,93;19,94;52,93;17,20;-;100,00
"430635 DEZESSEIS DE NOVEMBRO";16,64;29,06;43,49;10,81;-;100,00
"430640 DOIS IRMAOS";2,50;11,94;63,42;22,14;-;100,00
"430645 DOIS LAJEADOS";8,81;20,01;54,64;16,54;-;100,00
"430650 DOM FELICIANO";17,75;35,65;39,64;6,93;0,02;100,00
"430660 DOM PEDRITO";12,13;16,12;43,01;28,64;0,10;100,00
"430670 DONA FRANCISCA";13,22;16,36;50,54;19,89;-;100,00
"430673 DOUTOR MAURICIO CARDOSO";8,30;22,37;48,08;21,25;-;100,00
"430676 ELDORADO DO SUL";11,71;20,56;44,48;23,09;0,16;100,00
"430680 ENCANTADO";5,89;15,97;50,04;28,09;-;100,00
"430690 ENCRUZILHADA DO SUL";22,22;23,89;38,94;14,95;-;100,00
"430693 ENTRE-IJUIS";10,76;15,04;57,84;16,36;-;100,00
"430695 ENTRE RIOS DO SUL";10,32;26,79;46,10;16,80;-;100,00
"430697 EREBANGO";9,51;22,31;50,05;18,14;-;100,00
"430700 ERECHIM";8,06;14,39;43,87;33,59;0,10;100,00
"430705 ERNESTINA";9,68;18,42;53,02;18,87;-;100,00
"430710 HERVAL";21,74;22,39;42,05;13,77;0,06;100,00
"430720 ERVAL GRANDE";14,30;22,06;55,60;8,04;-;100,00
"430730 ERVAL SECO";13,94;21,29;51,78;12,99;-;100,00
"430740 ESMERALDA";15,68;24,00;46,14;14,18;-;100,00
"430750 ESPUMOSO";12,43;19,85;48,14;19,49;0,08;100,00
"430755 ESTACAO";5,63;19,10;47,97;27,30;-;100,00
"430760 ESTANCIA VELHA";5,86;13,66;53,68;26,71;0,08;100,00
"430770 ESTEIO";6,89;12,80;41,58;38,58;0,15;100,00
"430780 ESTRELA";3,42;9,30;57,69;29,60;-;100,00
"430783 EUGENIO DE CASTRO";4,65;21,88;57,10;16,37;-;100,00
"430786 FAGUNDES VARELA";8,08;14,18;64,53;13,21;-;100,00
"430790 FARROUPILHA";6,64;14,66;51,65;27,05;-;100,00
"430800 FAXINAL DO SOTURNO";8,92;18,82;45,73;26,48;0,06;100,00
"430805 FAXINALZINHO";15,72;22,94;45,17;16,02;0,15;100,00
"430810 FELIZ";1,41;10,87;65,61;22,08;0,04;100,00
"430820 FLORES DA CUNHA";5,58;14,39;57,39;22,64;-;100,00
"430830 FONTOURA XAVIER";23,44;24,74;42,34;9,32;0,16;100,00
"430840 FORMIGUEIRO";17,07;22,27;44,01;16,65;-;100,00
"430845 FORTALEZA DOS VALOS";8,51;20,75;50,20;20,44;0,09;100,00
"430850 FREDERICO WESTPHALEN";8,32;16,22;45,62;29,84;-;100,00
"430860 GARIBALDI";5,14;15,37;51,41;28,09;-;100,00
"430870 GAURAMA";6,49;16,83;53,50;23,18;-;100,00
"430880 GENERAL CAMARA";18,45;21,52;43,39;16,31;0,33;100,00
"430890 GETULIO VARGAS";6,22;17,55;50,19;26,05;-;100,00
"430900 GIRUA";10,86;17,33;52,94;18,87;-;100,00
"430905 GLORINHA";16,81;25,70;46,57;10,92;-;100,00
"430910 GRAMADO";8,69;17,62;48,48;25,21;-;100,00
"430920 GRAVATAI";8,17;14,11;45,83;31,71;0,18;100,00
"430925 GUABIJU";11,65;19,15;54,60;14,59;-;100,00
"430930 GUAIBA";9,99;15,49;46,19;28,21;0,12;100,00
"430940 GUAPORE";8,82;15,67;49,12;26,38;-;100,00
"430950 GUARANI DAS MISSOES";6,92;21,13;53,59;18,37;-;100,00
"430955 HARMONIA";0,57;8,75;65,24;25,45;-;100,00
"430960 HORIZONTINA";5,83;14,50;48,43;31,24;-;100,00
"430970 HUMAITA";5,87;11,96;57,26;24,91;-;100,00
"430975 IBARAMA";17,60;20,68;51,43;9,98;0,32;100,00
"430980 IBIACA";14,33;18,46;50,49;16,72;-;100,00
"430990 IBIRAIARAS";8,77;15,96;57,65;17,61;-;100,00
"430995 IBIRAPUITA";17,49;19,20;51,79;11,52;-;100,00
